,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.7,0.6,0.41,0.73,0.52,0.44,0.87,1.97,0.84,0.82,1.0,0.92,1.09,1.35,0.44,0.85
f_1,1.21,16.76,0.54,0.45,0.43,0.47,0.82,0.77,0.74,1.08,0.85,0.42,0.78,0.74,0.72,0.84
d_1,0.48,0.82,21.24,0.35,0.35,0.5,1.0,0.37,0.8,2.02,1.24,0.87,0.89,0.9,1.13,0.98
c_1,0.45,0.44,0.38,21.1,1.46,0.44,0.76,0.87,0.7,0.25,0.79,0.87,0.92,0.77,0.89,0.83
b_1,0.4,0.39,0.59,0.59,21.69,1.3,0.79,0.72,0.98,0.78,0.3,1.2,0.91,0.77,0.91,0.89
a_1,0.5,0.52,0.69,0.63,0.36,30.63,0.98,0.79,1.14,0.76,0.99,1.07,1.24,0.35,1.09,1.03
h_1,0.64,1.09,0.81,0.62,0.61,0.53,5.74,1.08,1.45,1.0,1.22,0.95,0.54,0.96,1.03,1.97
d_0,0.5,0.57,0.35,1.97,0.85,0.62,0.95,3.26,0.98,0.7,1.18,1.19,1.49,1.31,1.18,1.42
g_1,0.48,0.55,1.39,0.45,0.65,0.75,1.08,0.74,7.79,1.19,0.95,2.18,1.09,1.15,1.34,0.62
c_0,0.6,0.9,1.01,0.37,0.38,0.67,1.45,1.36,1.12,3.58,2.83,1.4,1.2,1.62,1.4,1.71
b_0,0.69,0.82,0.89,0.66,0.23,0.59,1.31,1.29,1.1,1.24,4.14,1.11,1.47,2.8,1.57,1.52
f_0,0.54,0.3,0.73,0.66,0.91,0.98,1.25,1.45,1.35,1.11,1.21,4.42,1.35,1.25,3.55,1.2
h_0,0.75,1.11,0.73,0.75,0.79,0.69,0.51,1.14,1.48,1.06,0.95,0.85,0.63,0.99,1.27,1.73
a_0,0.68,0.77,0.77,0.7,0.61,0.33,1.44,1.42,0.91,1.09,1.61,1.3,1.7,4.83,1.33,1.28
e_0,0.2,0.92,0.8,0.76,0.99,0.64,1.12,1.27,1.2,1.33,1.04,1.33,1.78,1.13,4.64,1.75
g_0,0.57,0.53,1.55,0.73,0.65,0.69,1.03,0.84,0.7,1.16,1.3,1.77,1.18,1.53,1.32,0.65
