,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.42,1.07,1.11,1.15,1.15,1.1,0.27,0.39,0.27,0.25,0.37,0.23,0.12,0.2,0.23,0.25
d_1,1.42,0.42,1.4,1.21,1.2,0.96,0.34,0.21,0.34,0.22,0.21,0.21,0.15,0.11,0.2,0.19
e_1,0.69,1.2,0.42,1.36,1.24,1.29,0.38,0.38,0.29,0.28,0.32,0.29,0.19,0.18,0.27,0.53
c_1,1.2,1.64,1.05,0.41,1.18,1.01,0.29,0.34,0.15,0.35,0.27,0.21,0.19,0.18,0.25,0.23
b_1,1.46,1.36,1.29,0.69,0.39,1.56,0.41,0.4,0.27,0.33,0.26,0.44,0.19,0.21,0.27,0.24
a_1,1.87,1.91,1.45,1.98,0.8,0.32,0.5,0.45,0.41,0.31,0.32,0.38,0.25,0.25,0.52,0.33
h_1,2.17,2.22,2.06,2.14,1.94,2.06,0.3,0.67,0.43,0.42,0.41,0.41,0.47,0.29,0.34,0.36
g_1,2.73,2.21,2.38,2.69,2.41,2.01,0.55,0.29,0.53,0.46,0.43,0.56,0.27,0.37,0.46,0.43
d_0,2.37,3.55,1.46,2.53,2.7,2.46,0.7,0.89,0.33,0.48,0.57,0.46,0.39,0.37,0.47,0.53
c_0,3.16,1.48,2.66,4.51,2.71,2.35,0.81,0.65,0.81,0.31,0.47,0.51,0.37,0.35,0.49,0.49
f_0,3.85,2.29,2.67,2.81,2.33,2.18,0.72,0.51,0.72,0.45,0.3,0.5,0.35,0.23,0.45,0.47
b_0,3.11,2.17,2.41,3.31,3.9,2.28,0.76,0.69,0.58,0.31,0.51,0.31,0.39,0.35,0.53,0.45
h_0,3.11,2.65,2.75,3.04,3.2,2.74,1.3,0.83,0.69,0.57,0.57,0.5,0.61,0.47,0.53,0.52
g_0,3.29,3.07,3.19,3.5,2.86,3.03,0.7,1.18,0.65,0.63,0.67,0.61,0.36,0.59,0.57,0.53
a_0,2.89,3.15,3.12,3.74,4.41,5.19,0.94,1.03,0.59,0.55,0.64,0.34,0.49,0.42,0.28,0.58
e_0,5.05,2.89,4.1,3.15,3.04,2.71,0.81,0.78,0.75,0.53,0.37,0.64,0.52,0.4,0.78,0.28
