,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.49,0.14,0.2,0.15,0.16,0.15,0.24,0.3,0.17,0.11,0.16,0.24,0.15,0.21,,0.19
f_1,0.27,1.5,0.15,0.16,0.15,0.15,0.17,0.22,0.23,0.13,0.16,,0.17,0.19,0.18,0.22
c_1,0.16,0.2,1.53,0.21,0.25,0.13,0.18,0.18,,0.15,0.15,0.2,0.16,0.22,0.2,0.19
d_1,0.18,0.16,0.14,1.53,0.16,0.15,0.24,,0.25,0.17,0.2,0.22,0.19,0.27,0.17,0.15
b_1,0.19,0.18,0.17,0.19,1.56,0.2,0.2,0.2,0.21,0.19,,0.15,0.16,0.24,0.12,0.22
a_1,0.18,0.17,0.21,0.12,0.12,1.75,0.26,0.26,0.18,0.19,0.2,0.16,,0.27,,0.3
h_1,0.3,0.53,0.37,0.35,0.4,0.33,1.65,0.52,0.53,0.61,0.41,0.38,0.36,,0.36,0.47
d_0,0.46,0.52,0.69,,0.49,0.4,0.48,1.44,0.62,0.41,0.49,0.48,0.38,0.54,0.44,0.46
c_0,0.56,0.43,,0.49,0.4,0.38,0.49,0.46,1.42,0.6,0.95,0.53,0.48,0.58,0.37,0.43
g_1,0.46,0.38,0.44,0.56,0.35,0.31,0.4,0.43,0.43,1.77,0.48,0.61,0.43,0.47,,
b_0,0.57,0.53,0.49,0.48,,0.38,0.55,0.47,0.51,0.53,1.52,0.45,0.88,0.55,,0.63
f_0,0.41,,0.47,0.4,0.5,0.39,0.55,0.63,0.55,0.43,0.64,1.55,0.6,0.76,0.73,0.44
a_0,0.53,0.52,0.54,0.46,0.41,,0.6,0.81,0.8,0.5,0.38,0.39,1.57,,,0.44
h_0,0.53,0.77,0.64,0.53,0.59,0.43,,0.74,0.72,0.84,0.69,0.58,,,0.71,1.06
e_0,,0.54,0.41,0.63,0.52,,0.76,0.75,0.75,,,0.41,,0.59,1.66,
g_0,0.58,0.63,0.55,0.9,0.6,0.38,0.71,0.63,0.84,,0.64,1.06,0.77,0.59,,
