,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.19,0.03,0.05,0.03,0.03,0.02,0.06,0.05,0.07,0.05,0.07,,0.05,0.08,0.04,0.05
c_1,0.03,2.29,0.03,0.06,0.03,0.02,0.04,0.09,,0.06,0.04,0.05,0.04,0.08,0.04,0.07
e_1,0.03,0.03,2.32,0.03,0.02,0.02,0.06,0.12,0.06,0.05,0.07,0.04,0.04,0.08,,0.05
b_1,0.04,0.03,0.03,2.4,0.03,0.03,0.06,0.05,0.06,0.06,,0.07,0.05,0.06,0.06,0.05
d_1,0.03,0.01,0.03,0.03,2.43,0.02,0.06,,0.13,0.04,0.06,0.07,0.07,0.08,0.05,0.06
a_1,0.04,0.02,0.02,0.02,0.04,2.95,0.06,0.06,0.06,0.04,0.05,0.06,,0.07,0.06,0.08
h_1,0.14,0.14,0.11,0.07,0.14,0.08,2.8,0.25,0.25,0.22,0.26,0.15,0.17,,,0.35
d_0,0.16,0.34,0.17,0.13,,0.11,0.28,1.91,0.31,0.2,0.18,0.29,0.15,0.45,0.22,0.34
c_0,0.17,,0.12,0.12,0.1,0.15,0.27,0.29,2.07,0.21,0.52,0.33,0.28,0.42,0.26,0.39
g_1,0.07,0.1,0.1,0.09,0.19,0.08,0.18,0.26,0.2,3.06,0.25,0.33,0.18,0.33,,
b_0,0.12,0.11,0.14,,0.13,0.1,0.25,0.42,0.38,0.27,2.18,0.28,0.55,0.32,0.24,0.49
f_0,,0.17,0.13,0.18,0.14,0.12,0.28,0.36,0.24,0.25,0.39,2.32,,0.36,0.42,0.37
a_0,0.19,0.11,0.19,0.13,0.11,,0.21,0.33,0.32,0.23,0.19,,2.7,0.56,,0.3
h_0,0.39,0.27,0.21,0.2,0.18,0.12,,0.67,0.41,0.35,0.45,0.36,0.3,,0.3,0.57
e_0,0.16,0.15,,0.16,0.12,0.11,,0.26,0.32,,0.3,0.27,,0.4,2.79,0.45
g_0,0.12,0.2,0.17,0.23,0.27,0.18,0.49,0.53,0.53,,0.35,0.67,0.37,0.49,0.5,
