,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.21,1.08,1.07,1.02,0.69,0.39,0.46,0.47,0.39,0.42,,0.29,0.26,0.33,0.24
e_1,0.82,1.0,1.05,0.71,0.87,0.73,0.49,0.39,0.62,0.41,0.4,0.41,0.39,0.35,0.26,
d_1,0.92,0.95,1.0,0.98,0.87,0.68,0.52,0.28,,0.62,0.45,0.44,0.33,0.47,0.22,0.38
c_1,0.94,1.4,1.02,1.0,1.27,0.94,0.42,0.47,0.29,,0.4,0.33,0.53,0.37,0.35,0.26
b_1,0.98,1.14,1.15,0.79,1.0,1.41,0.65,0.46,0.51,0.43,,0.42,0.46,0.41,0.37,0.3
a_1,1.46,1.37,1.47,1.06,0.71,1.0,0.86,0.77,0.51,0.65,0.46,0.42,,0.56,0.34,
h_1,2.59,2.03,1.92,2.36,1.54,1.16,1.0,0.96,0.93,0.87,0.76,0.77,0.57,,0.74,0.59
g_1,2.19,2.57,3.51,2.14,2.16,1.29,1.04,1.0,0.74,0.93,0.84,0.95,0.6,0.66,,
d_0,2.11,1.62,,3.42,1.97,1.97,1.07,1.34,1.0,1.06,0.81,0.92,0.79,0.99,0.62,0.65
c_0,2.58,2.45,1.6,,2.35,1.53,1.14,1.08,0.94,1.0,1.52,0.78,0.87,0.91,0.67,
b_0,2.37,2.5,2.24,2.48,,2.16,1.32,1.2,1.23,0.66,1.0,0.91,1.16,0.96,0.96,0.72
f_0,,2.46,2.25,3.0,2.37,2.41,1.3,1.06,1.08,1.28,1.1,1.0,0.76,0.86,0.66,
a_0,3.4,2.56,3.07,1.87,2.19,,1.75,1.67,1.27,1.15,0.86,1.31,1.0,1.05,1.08,
h_0,3.89,2.88,2.13,2.7,2.41,1.8,,1.52,1.01,1.1,1.04,1.16,0.95,,1.22,0.99
g_0,3.02,3.87,4.57,2.84,2.7,2.97,1.35,,1.6,1.5,1.05,1.51,0.93,0.82,,1.04
e_0,4.23,,2.64,3.8,3.35,,1.71,,1.53,,1.39,,,1.01,0.96,1.0
