,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,6.03,3.1,3.55,2.42,2.71,3.03,9.88,9.07,21.68,12.77,12.46,12.64,14.0,20.38,10.42,21.13
f_1,4.47,6.59,2.83,2.74,2.55,2.55,8.35,9.8,13.74,13.02,12.63,7.88,12.48,19.92,10.21,19.22
c_1,2.42,2.77,6.76,2.74,4.65,3.09,10.65,9.83,13.05,9.36,7.83,15.1,13.35,19.03,15.24,21.23
d_1,2.42,2.93,2.57,6.99,2.78,2.91,11.81,11.51,10.62,16.24,23.35,14.4,15.8,21.34,16.96,19.64
b_1,2.72,2.87,2.73,2.57,7.59,5.3,10.56,9.53,11.32,8.81,12.09,12.13,10.28,20.63,12.21,19.84
a_1,2.86,2.93,2.97,3.08,2.75,9.79,12.21,12.16,11.84,13.12,11.64,12.09,12.17,22.97,15.38,18.76
h_1,2.95,4.24,2.89,3.24,2.96,2.45,18.49,13.72,11.73,13.01,14.39,12.22,15.67,18.6,17.3,26.72
g_1,2.53,2.94,3.13,4.41,2.79,2.75,11.07,22.49,10.44,13.93,14.38,21.04,13.34,21.42,20.47,15.74
d_0,2.8,3.19,4.99,2.31,3.41,2.88,9.59,9.97,19.34,13.58,9.59,13.0,15.43,21.29,16.15,20.73
b_0,2.95,3.53,3.13,3.51,2.33,2.41,11.32,11.72,13.47,21.83,17.2,15.59,31.89,24.48,18.42,25.36
c_0,3.15,3.36,2.75,3.3,2.46,3.06,11.27,10.87,14.36,24.33,21.93,15.19,22.91,25.01,17.66,24.7
f_0,2.24,2.68,3.43,3.4,3.77,2.72,11.84,12.18,14.02,14.69,15.4,24.88,19.29,23.65,33.52,22.54
a_0,2.74,3.6,3.05,3.42,3.6,2.07,10.7,10.07,15.09,13.23,14.16,13.18,27.6,25.13,16.07,27.21
h_0,3.05,3.87,3.06,3.44,2.95,2.8,8.7,14.16,12.24,13.46,13.07,13.41,15.16,16.28,14.63,26.33
e_0,2.4,3.75,3.36,3.41,3.06,2.12,10.56,10.7,13.44,15.66,14.46,15.21,19.75,26.93,30.56,25.61
g_0,3.07,2.45,3.17,4.26,2.89,2.91,10.14,8.12,13.55,15.92,14.47,19.21,18.63,20.46,17.19,18.52
