,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.17,0.36,0.74,0.69,0.7,0.68,0.22,0.21,0.15,0.13,0.14,0.17,0.1,0.11,0.14,0.31
f_1,0.59,0.17,0.61,0.7,0.66,0.61,0.14,0.2,0.13,0.16,0.13,0.25,0.06,0.1,0.13,0.13
d_1,0.73,0.74,0.15,0.62,0.64,0.7,0.17,0.12,0.34,0.12,0.13,0.11,0.1,0.05,0.12,0.13
c_1,0.52,0.67,0.92,0.15,0.64,0.54,0.19,0.17,0.08,0.22,0.12,0.12,0.1,0.1,0.11,0.11
b_1,0.65,0.84,0.63,0.37,0.14,0.6,0.2,0.25,0.14,0.22,0.25,0.14,0.11,0.1,0.15,0.14
a_1,0.73,0.76,0.68,0.65,0.35,0.09,0.23,0.24,0.16,0.13,0.15,0.12,0.1,0.11,0.22,0.12
h_1,0.5,0.55,0.49,0.56,0.6,0.46,0.06,0.14,0.12,0.1,0.1,0.12,0.11,0.08,0.1,0.08
g_1,0.52,0.55,0.46,0.55,0.62,0.46,0.12,0.05,0.12,0.11,0.11,0.1,0.06,0.12,0.12,0.1
d_0,0.31,0.48,0.9,0.57,0.53,0.58,0.18,0.2,0.06,0.11,0.11,0.12,0.08,0.09,0.1,0.12
c_0,0.61,0.54,0.27,0.88,0.48,0.65,0.17,0.13,0.15,0.06,0.15,0.1,0.09,0.09,0.09,0.1
b_0,0.53,0.48,0.41,0.75,0.81,0.52,0.14,0.15,0.11,0.06,0.05,0.1,0.08,0.08,0.09,0.09
f_0,0.48,0.98,0.44,0.62,0.52,0.5,0.12,0.09,0.11,0.09,0.12,0.05,0.1,0.05,0.11,0.09
h_0,0.51,0.61,0.47,0.51,0.46,0.46,0.23,0.16,0.1,0.12,0.1,0.09,0.1,0.08,0.09,0.1
g_0,0.57,0.59,0.55,0.49,0.49,0.48,0.1,0.21,0.11,0.09,0.09,0.08,0.06,0.11,0.11,0.08
a_0,0.57,0.58,0.5,0.49,0.64,0.85,0.13,0.12,0.11,0.09,0.05,0.08,0.07,0.09,0.04,0.1
e_0,0.68,0.75,0.48,0.55,0.48,0.43,0.13,0.13,0.12,0.1,0.1,0.05,0.07,0.08,0.12,0.04
