,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.78,0.76,0.52,1.02,0.64,0.61,0.96,2.49,0.97,0.79,1.0,0.97,0.81,0.94,0.72,0.93
f_1,1.77,10.94,0.58,0.71,0.56,0.7,0.77,0.96,0.88,0.89,0.92,0.6,0.9,0.85,0.62,0.84
d_1,0.58,0.76,13.57,0.46,0.7,0.78,0.97,0.51,1.14,2.61,1.2,1.1,1.14,1.17,1.16,1.05
c_1,0.57,0.61,0.7,11.83,1.72,0.61,0.91,0.83,0.86,0.54,0.68,0.93,1.08,0.89,1.1,0.9
b_1,0.64,0.59,0.76,0.82,13.35,1.73,0.8,0.78,0.77,0.81,0.64,0.91,0.84,0.67,1.0,0.99
a_1,0.58,0.77,1.01,0.62,0.66,18.63,1.08,1.01,0.94,1.01,1.14,1.08,1.08,0.77,0.94,1.02
h_1,0.79,1.5,0.91,0.7,0.61,0.69,3.31,0.91,1.23,0.78,1.11,0.97,0.92,1.27,1.02,1.47
d_0,0.85,0.84,0.51,2.2,0.77,0.62,1.1,1.88,0.91,0.6,1.02,1.04,1.11,0.8,0.98,1.0
g_1,0.61,0.7,1.75,0.7,0.77,0.67,1.14,0.77,3.79,1.06,0.92,1.92,0.98,1.24,1.28,0.94
c_0,0.78,1.05,1.04,0.52,0.47,0.66,1.24,0.95,0.97,2.38,3.12,1.26,1.19,1.45,1.26,1.11
b_0,0.88,0.93,0.95,0.91,0.48,0.58,1.21,1.13,1.09,0.96,2.26,1.09,1.28,3.29,1.15,1.19
f_0,0.6,0.66,1.12,0.8,0.85,0.71,1.44,1.09,1.07,1.0,1.38,2.52,1.3,1.31,2.93,1.39
h_0,0.57,1.19,1.01,0.76,0.72,0.71,0.8,0.79,1.49,1.2,1.22,1.27,0.78,1.09,1.15,1.48
a_0,0.62,0.96,0.97,0.82,0.67,0.66,1.38,1.03,1.31,1.19,1.17,1.21,1.54,3.05,1.4,1.18
e_0,0.53,1.07,0.92,0.87,0.85,0.7,1.38,0.94,0.97,0.95,1.21,1.11,1.69,1.26,2.71,1.28
g_0,0.61,0.6,1.55,0.8,0.83,0.77,1.3,0.73,0.79,0.98,1.26,2.2,1.29,1.01,1.34,1.05
