,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.41,0.38,0.45,0.51,0.42,0.1,0.09,0.09,0.16,0.09,0.14,0.05,0.08,0.1,0.08
e_1,0.26,0.17,0.49,0.46,0.51,0.51,0.13,0.1,0.09,0.14,0.09,0.12,0.07,0.1,0.17,0.08
d_1,0.46,0.54,0.15,0.52,0.44,0.38,0.11,0.16,0.09,0.07,0.09,0.08,0.06,0.07,0.08,0.04
c_1,0.45,0.36,0.54,0.15,0.47,0.43,0.13,0.05,0.15,0.12,0.09,0.09,0.07,0.08,0.09,0.07
b_1,0.49,0.48,0.5,0.26,0.14,0.42,0.16,0.1,0.12,0.15,0.19,0.09,0.07,0.1,0.08,0.07
a_1,0.57,0.51,0.46,0.46,0.22,0.1,0.16,0.12,0.1,0.15,0.13,0.1,0.07,0.22,0.1,0.07
h_1,0.48,0.36,0.43,0.4,0.36,0.31,0.05,0.08,0.08,0.11,0.09,0.08,0.07,0.08,0.08,0.05
d_0,0.36,0.24,0.68,0.52,0.4,0.34,0.12,0.06,0.1,0.12,0.1,0.1,0.06,0.08,0.09,0.06
c_0,0.42,0.5,0.22,0.57,0.46,0.36,0.12,0.17,0.05,0.12,0.09,0.08,0.06,0.08,0.07,0.06
g_1,0.45,0.41,0.42,0.41,0.38,0.35,0.09,0.09,0.08,0.04,0.08,0.08,0.05,0.07,0.08,0.06
b_0,0.43,0.36,0.29,0.63,0.58,0.35,0.1,0.09,0.04,0.12,0.04,0.07,0.06,0.07,0.07,0.06
f_0,0.64,0.38,0.35,0.42,0.4,0.3,0.11,0.1,0.09,0.07,0.07,0.04,0.05,0.06,0.07,0.03
h_0,0.4,0.39,0.33,0.47,0.37,0.31,0.17,0.1,0.08,0.1,0.08,0.08,0.09,0.08,0.07,0.06
a_0,0.39,0.31,0.35,0.44,0.54,0.68,0.12,0.09,0.08,0.11,0.04,0.08,0.06,0.03,0.08,0.05
e_0,0.69,0.47,0.33,0.37,0.41,0.29,0.1,0.09,0.07,0.08,0.07,0.04,0.06,0.08,0.03,0.05
g_0,0.47,0.38,0.36,0.42,0.38,0.29,0.08,0.1,0.08,0.14,0.08,0.08,0.04,0.07,0.09,0.07
