,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.74,0.93,0.86,1.12,0.87,0.7,0.78,0.99,0.61,0.61,0.55,0.56,0.66,0.94,0.59
f_1,1.35,1.0,1.02,1.0,0.97,0.73,0.57,0.67,0.56,0.56,0.8,0.63,0.52,0.47,0.46,0.5
c_1,1.08,0.98,1.0,1.06,1.22,0.79,0.75,0.66,0.46,0.49,0.66,0.56,0.69,0.66,0.52,0.51
d_1,1.16,1.0,0.95,1.0,0.92,0.94,0.81,0.57,0.66,0.79,0.75,0.65,0.68,0.54,0.55,0.47
b_1,0.89,1.03,0.82,1.09,1.0,1.16,0.8,0.74,0.72,0.71,0.67,0.86,0.51,0.63,0.54,0.75
a_1,1.15,1.37,1.27,1.07,0.86,1.0,0.95,0.79,0.79,0.86,0.64,0.78,0.47,0.76,0.8,0.54
h_1,1.38,1.78,1.34,1.29,1.3,1.02,1.0,1.16,0.98,0.89,0.71,0.85,0.8,0.78,0.73,0.8
g_1,1.31,1.47,1.57,1.77,1.31,1.24,0.87,1.0,0.98,0.91,1.12,0.86,0.78,0.78,0.87,1.0
d_0,0.97,1.88,2.22,1.39,1.33,1.22,1.03,1.02,1.0,0.9,0.81,0.95,0.92,0.89,0.78,1.12
c_0,1.67,1.97,1.86,1.21,1.41,1.13,1.1,1.1,1.03,1.0,0.92,1.42,0.91,0.95,0.81,1.13
f_0,1.56,1.29,1.76,1.43,1.38,1.5,1.41,0.87,1.19,0.97,1.0,1.13,1.04,1.04,1.36,0.8
b_0,1.86,1.68,1.92,1.58,1.12,1.15,1.11,1.15,1.01,0.68,0.94,1.0,1.33,0.93,0.87,0.88
a_0,1.78,1.84,1.47,1.56,1.87,,1.18,1.31,1.13,1.03,0.95,0.78,1.0,0.91,1.17,0.93
h_0,1.5,2.19,1.51,1.87,1.58,1.22,1.22,1.29,1.11,1.05,0.94,1.07,1.08,1.0,0.89,1.08
e_0,1.18,2.39,1.77,1.84,1.72,1.35,1.28,1.15,1.17,1.18,0.76,1.21,0.79,1.17,1.01,0.83
g_0,1.71,2.02,1.93,2.06,1.29,1.8,1.24,1.09,0.99,0.94,1.3,1.06,0.99,0.89,1.26,1.0
