,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.23,1.0,1.0,0.99,1.12,1.49,1.14,1.02,0.97,1.18,1.01,0.92,1.16,1.05
f_1,1.28,1.0,1.05,0.85,1.01,0.89,0.77,0.98,1.0,0.87,0.98,0.83,0.85,0.98,0.84,1.25
c_1,0.81,0.96,1.0,1.11,1.28,1.03,1.05,0.74,1.13,0.9,0.88,1.0,0.93,0.85,0.97,1.09
d_1,1.0,1.2,0.91,1.0,0.92,0.85,1.1,1.06,0.82,1.27,1.03,0.99,1.09,1.13,1.04,0.73
b_1,1.02,0.98,0.79,1.09,1.0,1.49,0.97,0.87,0.91,1.08,0.96,0.98,1.16,0.94,0.91,0.95
a_1,1.0,1.13,0.96,1.17,0.67,1.0,1.15,1.03,1.28,1.03,1.12,0.93,1.07,1.06,1.0,1.08
h_1,0.92,1.27,0.98,0.91,1.01,0.81,1.0,0.91,1.03,0.93,0.87,1.05,1.07,1.08,0.93,1.08
d_0,0.68,1.03,1.34,0.97,1.14,0.93,1.08,1.0,0.9,0.96,1.01,1.03,1.15,0.97,1.16,1.09
g_1,0.86,0.98,0.87,1.24,1.06,0.8,0.96,1.11,1.0,1.06,1.03,1.19,0.88,1.05,1.08,0.92
c_0,1.02,1.16,1.09,0.78,0.87,0.85,1.07,1.09,0.96,1.0,1.5,1.02,1.16,1.11,1.05,1.07
b_0,1.02,1.08,1.17,0.95,0.95,0.85,1.19,1.0,0.94,0.67,1.0,0.97,0.87,1.48,0.93,1.17
f_0,0.83,1.18,1.03,1.0,1.0,1.13,0.96,0.96,0.85,0.97,1.03,1.0,1.04,1.03,1.42,0.78
h_0,1.01,1.21,1.03,0.9,0.89,0.91,0.94,0.92,1.14,0.84,1.11,0.97,1.0,0.9,0.97,1.08
a_0,1.1,0.99,1.18,0.87,1.06,0.92,0.91,1.07,0.99,0.9,0.74,0.91,1.1,1.0,1.07,1.1
e_0,0.86,1.19,1.09,0.97,1.14,1.06,1.01,0.86,0.89,0.97,1.05,0.69,1.09,0.89,1.0,0.99
g_0,0.98,0.8,0.9,1.28,1.1,0.96,0.93,0.92,1.1,0.9,0.9,1.34,0.92,0.98,1.04,1.0
