,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.33,0.85,0.96,0.82,0.75,0.58,0.6,0.62,0.58,0.57,0.59,0.47,0.53,0.42,0.61
e_1,0.75,1.0,1.22,0.9,0.93,0.92,0.71,0.92,0.74,0.63,0.75,0.64,0.72,0.61,0.7,0.53
c_1,1.19,0.82,1.0,1.13,1.4,0.76,0.66,0.45,0.66,0.47,0.58,0.51,0.63,0.47,0.52,0.62
d_1,1.04,1.12,0.89,1.0,0.93,0.8,0.78,0.72,0.57,0.89,0.7,0.75,0.63,0.66,0.56,0.47
b_1,1.21,1.09,0.73,1.06,1.0,1.44,0.74,0.75,0.75,0.64,0.64,0.64,0.67,0.56,0.65,0.59
a_1,1.33,1.09,1.32,1.26,0.69,1.0,0.81,0.89,0.72,0.78,0.72,0.73,0.73,0.69,0.71,0.67
h_1,1.74,1.42,1.56,1.3,1.26,1.15,1.0,0.83,1.12,0.92,0.75,0.9,0.7,0.64,0.72,0.86
d_0,1.63,1.05,2.13,1.59,1.34,1.18,1.2,1.0,1.03,0.93,1.04,0.98,0.92,0.75,0.77,1.21
g_1,1.64,1.42,1.48,1.71,1.35,1.35,0.88,0.94,1.0,0.81,1.22,0.89,0.71,0.89,0.89,0.78
c_0,1.65,1.66,1.93,1.09,1.48,1.23,1.13,1.07,1.24,1.0,0.97,1.42,0.95,0.88,1.01,0.9
f_0,1.94,1.29,1.74,1.43,1.56,1.35,1.3,0.99,0.8,1.04,1.0,0.99,0.96,1.36,0.89,0.77
b_0,1.74,1.6,2.06,1.29,1.5,1.38,1.17,1.02,1.14,0.72,0.97,1.0,0.89,0.83,1.24,0.96
h_0,2.07,1.43,1.62,1.6,1.46,1.36,1.45,1.09,1.35,1.03,0.93,1.07,1.0,0.84,0.94,1.04
e_0,1.93,1.58,2.23,1.45,1.83,1.44,1.53,1.36,1.17,1.07,0.76,1.17,1.2,1.0,1.17,1.01
a_0,2.35,1.48,2.03,1.69,1.65,1.28,1.36,1.25,1.07,0.99,1.14,0.83,1.07,0.88,1.0,1.18
g_0,1.61,1.85,1.67,2.14,1.67,1.48,1.17,0.86,1.3,1.2,1.24,1.07,0.92,0.98,0.89,1.0
