,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.25,0.41,0.25,0.25,0.21,0.14,0.34,0.33,0.42,0.38,0.46,0.13,0.33,0.55,0.54,0.22
e_1,0.27,2.26,0.18,0.2,0.19,0.15,0.43,0.36,0.94,0.53,0.54,0.52,0.41,0.53,0.48,0.11
d_1,0.23,0.2,2.33,0.19,0.19,0.21,0.41,0.38,0.12,0.91,0.54,0.44,0.35,0.72,0.46,0.46
c_1,0.24,0.26,0.21,2.39,0.38,0.15,0.34,0.34,0.42,0.09,0.37,0.41,0.42,0.57,0.47,0.3
b_1,0.19,0.22,0.23,0.22,2.58,0.37,0.43,0.33,0.48,0.36,0.11,0.56,0.29,0.57,0.47,0.34
a_1,0.25,0.25,0.26,0.19,0.19,2.95,0.54,0.42,0.44,0.49,0.38,0.32,0.09,0.53,0.46,0.31
h_1,0.59,0.35,0.38,0.38,0.28,0.26,2.87,0.79,0.97,0.89,0.65,0.78,0.5,0.38,1.19,0.66
g_1,0.32,0.35,0.75,0.41,0.27,0.23,0.64,3.1,0.48,0.7,0.65,0.92,0.47,0.79,0.42,0.53
d_0,0.41,0.36,0.15,0.81,0.36,0.31,0.8,0.63,2.21,0.76,0.75,0.8,0.75,0.95,0.85,0.64
c_0,0.52,0.4,0.45,0.19,0.29,0.29,0.69,0.85,0.81,2.36,1.77,0.9,0.87,1.07,0.86,0.68
b_0,0.51,0.38,0.39,0.46,0.16,0.28,0.81,0.62,0.93,0.65,2.36,0.66,1.53,1.26,1.01,0.8
f_0,0.22,0.31,0.47,0.47,0.35,0.36,0.9,0.63,1.02,0.9,0.81,2.48,0.71,0.95,1.09,1.57
a_0,0.58,0.44,0.45,0.48,0.31,,0.7,0.8,0.89,0.76,0.91,0.8,2.81,1.07,0.97,0.49
h_0,0.7,0.35,0.37,0.44,0.3,0.24,0.21,0.87,0.65,0.79,0.72,0.82,0.76,0.53,1.21,0.62
g_0,0.32,0.39,0.63,0.38,0.32,0.32,0.68,0.25,0.95,0.78,0.66,1.16,0.76,0.81,0.37,0.73
e_0,0.53,0.17,0.39,0.51,0.34,0.28,0.66,0.49,1.02,1.03,0.94,0.54,0.76,1.0,1.02,3.11
