,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.2,0.15,0.22,0.15,0.09,0.16,0.15,0.15,0.29,0.18,0.15,0.15,0.11,0.05,0.14
f_1,0.35,0.89,0.17,0.18,0.11,0.07,0.18,0.1,0.13,0.15,0.17,0.05,0.13,0.11,0.09,0.12
d_1,0.16,0.21,0.89,0.12,0.17,0.12,0.16,0.16,0.33,0.07,0.18,0.13,0.2,0.12,0.11,0.11
c_1,0.18,0.19,0.18,0.88,0.29,0.08,0.14,0.12,0.05,0.16,0.11,0.16,0.13,0.11,0.11,0.14
b_1,0.16,0.18,0.2,0.16,0.88,0.23,0.18,0.12,0.14,0.13,0.05,0.16,0.17,0.06,0.1,0.13
a_1,0.21,0.22,0.18,0.15,0.13,0.88,0.2,0.14,0.19,0.17,0.17,0.13,0.17,0.06,0.1,0.15
h_1,0.24,0.34,0.21,0.19,0.15,0.13,0.57,0.23,0.22,0.18,0.2,0.14,0.08,0.14,0.1,0.2
g_1,0.18,0.2,0.36,0.22,0.16,0.13,0.18,0.55,0.2,0.16,0.18,0.26,0.2,0.11,0.11,0.08
c_0,0.26,0.24,0.27,0.11,0.13,0.17,0.23,0.15,0.44,0.21,0.41,0.17,0.2,0.15,0.13,0.16
d_0,0.29,0.25,0.09,0.4,0.18,0.1,0.21,0.16,0.16,0.42,0.25,0.19,0.18,0.11,0.12,0.17
b_0,0.23,0.26,0.27,0.2,0.08,0.12,0.23,0.19,0.23,0.18,0.44,0.2,0.2,0.3,0.13,0.17
f_0,0.2,0.15,0.27,0.23,0.19,0.17,0.22,0.21,0.19,0.21,0.24,0.38,0.21,0.13,0.21,0.14
h_0,0.26,0.33,0.3,0.19,0.14,0.12,0.11,0.21,0.21,0.2,0.21,0.14,0.12,0.1,0.12,0.22
a_0,0.25,0.25,0.25,0.18,0.2,0.04,0.23,0.21,0.21,0.21,0.22,0.19,0.24,0.38,0.11,0.16
e_0,0.13,0.25,0.21,0.26,0.19,0.12,0.26,0.18,0.22,0.26,0.2,0.18,0.19,0.13,0.37,0.16
g_0,0.21,0.19,0.35,0.26,0.19,0.13,0.17,0.11,0.22,0.18,0.25,0.31,0.16,0.16,0.1,0.09
