,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,15.2,11.95,13.31,11.62,10.89,2.69,3.85,2.3,2.76,2.62,,1.41,2.72,1.86,1.9
e_1,6.49,0.18,19.43,11.27,11.81,15.17,3.43,2.96,2.61,3.44,3.49,2.96,1.88,2.73,1.91,
d_1,14.21,16.3,0.16,13.9,15.68,10.63,3.5,2.42,,2.35,2.58,2.19,1.76,3.22,0.92,2.64
c_1,14.48,11.54,16.57,0.15,11.37,18.49,3.38,3.05,1.28,,3.1,2.73,1.75,2.85,2.0,
b_1,15.36,9.18,15.68,7.5,0.13,9.42,5.56,4.07,2.11,3.15,,2.87,1.53,2.24,2.41,3.34
a_1,17.55,11.24,11.52,11.25,9.42,0.1,4.34,3.34,2.93,2.82,2.61,3.24,1.95,,1.89,
h_1,3.3,5.07,3.21,3.0,2.62,3.65,0.07,0.85,0.71,0.53,0.56,0.59,,0.65,0.59,0.7
g_1,3.0,3.7,3.05,3.4,4.07,3.78,0.68,0.06,0.87,0.75,0.46,0.68,0.44,,,
d_0,2.47,1.4,,2.63,3.45,3.98,0.65,0.73,0.08,0.59,0.56,0.43,0.34,,0.29,0.65
c_0,3.02,2.32,1.34,,2.47,2.82,0.61,1.16,0.5,0.08,0.51,0.43,0.31,0.67,0.39,0.46
b_0,2.49,3.13,2.5,3.69,,2.26,0.72,0.85,0.44,0.28,0.07,0.66,0.34,0.52,0.33,0.5
f_0,,2.4,2.06,2.26,3.82,2.63,1.1,0.45,0.46,0.5,0.52,0.06,0.34,0.46,0.28,
h_0,1.53,2.11,1.34,1.8,1.33,1.16,,0.49,0.4,0.29,0.4,0.39,,0.35,0.23,0.26
a_0,2.16,2.86,3.65,2.13,3.73,,0.65,,,0.53,0.35,0.49,0.29,0.05,0.4,0.41
g_0,2.34,2.07,2.05,1.84,1.6,2.36,0.29,,0.47,0.35,0.31,0.31,0.18,0.25,,0.29
e_0,3.42,,2.64,,2.16,,0.56,,0.43,0.36,0.45,,0.38,0.36,0.38,0.04
