,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.42,1.35,1.22,1.25,1.16,1.01,0.28,0.2,0.22,0.39,0.24,0.2,0.16,0.11,0.21,0.2
e_1,1.1,0.43,0.7,1.39,1.22,1.05,0.41,0.41,0.24,0.28,0.26,0.27,0.18,0.19,0.26,0.4
f_1,1.12,1.14,0.42,1.2,1.08,1.06,0.26,0.34,0.22,0.24,0.23,0.33,0.12,0.19,0.22,0.2
c_1,1.65,1.03,1.15,0.4,1.2,1.18,0.42,0.41,0.39,0.14,0.24,0.22,0.17,0.19,0.22,0.25
b_1,1.36,1.38,1.45,0.73,0.38,1.33,0.38,0.41,0.39,0.33,0.46,0.33,0.22,0.22,0.26,0.28
a_1,1.77,1.59,1.77,1.77,0.75,0.32,0.49,0.5,0.37,0.39,0.51,0.4,0.28,0.23,0.72,0.33
h_1,2.09,1.83,2.13,2.33,2.45,2.09,0.3,0.62,0.43,0.42,0.45,0.42,0.44,0.32,0.48,0.38
g_1,2.3,2.32,2.61,2.33,2.69,2.17,0.47,0.28,0.52,0.56,0.48,0.43,0.28,0.45,0.47,0.47
c_0,1.42,2.21,2.7,4.9,2.98,2.08,0.64,0.7,0.32,0.74,0.48,0.48,0.38,0.32,0.51,0.54
d_0,3.16,1.44,2.39,2.65,2.67,2.21,0.76,1.13,0.52,0.33,0.51,0.51,0.38,0.38,0.52,0.56
b_0,2.02,2.12,2.68,4.3,3.74,1.99,0.72,0.69,0.29,0.58,0.31,0.47,0.37,0.33,0.65,0.49
f_0,2.54,2.36,3.53,3.26,2.96,2.35,0.75,0.61,0.65,0.63,0.61,0.31,0.48,0.25,0.58,0.5
h_0,2.65,2.94,3.05,2.8,2.94,2.53,1.11,0.91,0.58,0.62,0.56,0.55,0.59,0.42,0.5,0.48
g_0,2.82,2.99,3.71,3.57,3.48,3.63,0.68,1.15,0.64,0.71,0.62,0.66,0.33,0.53,0.63,0.59
a_0,3.02,2.96,3.42,3.66,4.97,5.0,0.89,0.78,0.52,0.66,0.33,0.59,0.56,0.43,0.28,0.64
e_0,3.46,3.87,4.09,3.0,3.23,3.07,0.83,0.78,0.69,0.64,0.68,0.34,0.47,0.4,0.69,0.29
