,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.4,0.24,0.28,0.26,0.22,0.28,0.51,0.94,0.58,0.5,0.62,0.63,0.64,0.8,,0.76
f_1,0.47,2.45,0.34,0.17,0.31,0.25,0.47,0.74,0.56,0.48,0.61,,0.67,0.84,,
c_1,0.28,0.28,2.5,0.28,0.46,0.22,0.65,0.47,,0.65,0.63,0.43,0.54,0.69,0.8,0.82
d_1,0.26,0.4,0.23,2.55,0.24,0.24,0.58,,1.0,0.52,0.57,0.63,0.55,0.88,,0.64
b_1,0.3,0.2,0.23,0.28,2.67,0.47,0.68,0.79,0.64,0.47,,0.68,0.61,0.7,,0.64
a_1,0.25,0.32,0.26,0.32,0.21,3.28,0.58,0.49,0.62,0.48,0.59,0.69,,0.9,,0.68
h_1,0.48,0.63,0.41,0.64,0.56,0.65,3.78,0.88,1.15,1.37,0.95,1.36,1.12,,1.01,2.07
d_0,0.58,0.53,1.05,,0.59,0.62,1.31,3.28,1.44,1.03,1.48,1.2,1.3,2.13,1.22,1.66
c_0,0.64,0.67,,0.53,0.6,0.73,0.9,1.26,3.42,1.3,2.0,1.45,1.51,1.58,1.48,1.94
g_1,0.46,0.38,0.47,0.84,0.54,0.44,1.01,1.29,1.21,4.23,1.32,1.5,0.83,1.46,1.08,
b_0,0.56,0.59,0.52,0.63,,0.69,1.33,1.4,1.19,1.27,3.73,1.25,2.04,1.51,1.79,1.93
f_0,0.61,,0.79,0.58,0.47,0.44,1.28,1.51,1.41,1.03,1.31,3.85,1.54,1.46,2.58,1.49
a_0,0.59,0.65,0.54,0.64,0.54,,1.34,1.63,1.39,1.58,1.15,1.4,4.42,1.49,,
h_0,0.69,1.0,0.81,0.66,0.81,0.61,,1.31,1.69,1.33,1.81,1.91,1.75,,1.77,2.73
e_0,,,0.65,,,,1.16,1.69,1.33,1.26,1.22,1.22,,1.96,4.91,1.65
g_0,0.61,,0.7,1.06,0.81,0.68,1.25,1.66,1.76,,1.72,2.16,,2.22,1.51,
