,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.97,1.9,2.06,1.76,1.57,0.44,0.52,0.39,0.39,0.35,0.41,0.25,0.32,0.88,0.29
f_1,1.71,0.43,1.59,1.63,1.56,1.82,0.38,0.67,0.3,0.31,0.39,0.55,0.17,0.35,0.25,0.32
d_1,1.85,2.14,0.41,2.02,1.95,1.55,0.46,0.29,0.29,0.84,0.31,0.33,0.23,0.36,0.31,0.15
c_1,1.54,1.86,2.25,0.4,1.9,1.76,0.54,0.6,0.69,0.2,0.4,0.34,0.28,0.41,0.32,0.28
b_1,1.8,1.95,2.43,1.01,0.39,2.31,0.71,0.63,0.56,0.41,0.73,0.45,0.42,0.47,0.41,0.31
a_1,2.34,2.61,1.99,2.51,1.27,0.33,0.71,0.7,0.57,0.53,0.72,0.59,0.5,1.13,0.54,0.39
h_1,3.19,3.01,2.49,3.18,2.94,2.17,0.32,0.94,0.57,0.57,0.59,0.64,0.66,0.51,0.49,0.45
g_1,2.93,3.46,2.59,3.09,3.5,3.0,0.7,0.3,0.64,0.66,0.63,0.67,0.32,0.63,0.57,0.49
c_0,3.49,3.45,1.62,8.31,3.67,2.99,0.84,0.89,0.36,1.07,0.65,0.66,0.52,0.61,0.84,0.41
d_0,1.9,3.61,6.22,3.16,3.11,3.0,1.12,0.99,0.76,0.38,0.75,0.63,0.51,0.61,0.68,0.56
b_0,3.23,3.64,2.82,4.36,5.78,2.66,1.03,0.86,0.38,0.75,0.34,0.6,0.42,0.62,0.69,0.37
f_0,3.15,6.27,3.07,3.84,3.53,3.23,0.83,0.5,0.67,0.66,0.69,0.34,0.56,0.8,0.92,0.34
h_0,3.29,4.1,3.6,3.87,3.83,3.1,1.71,1.16,0.72,0.75,0.82,0.7,0.71,0.7,0.77,0.49
a_0,3.56,4.58,2.99,5.67,4.62,5.69,1.07,1.18,0.66,1.11,0.4,0.82,0.45,0.32,1.07,0.49
e_0,7.41,5.48,4.0,3.35,3.58,3.63,1.27,1.06,0.82,0.83,1.01,0.49,0.61,0.83,0.32,0.6
g_0,3.87,5.26,3.44,5.16,5.31,4.53,0.82,1.87,0.81,1.06,0.85,0.86,0.49,0.74,0.91,0.87
