,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.16,0.45,0.36,0.35,0.34,0.32,0.09,0.1,0.06,0.07,0.07,0.07,0.05,0.06,0.05,0.03
e_1,0.39,0.16,0.23,0.35,0.36,0.34,0.1,0.08,0.11,0.08,0.09,0.07,0.05,0.07,0.11,0.06
f_1,0.32,0.32,0.15,0.37,0.4,0.33,0.07,0.08,0.12,0.07,0.09,0.06,0.04,0.06,0.06,0.06
c_1,0.43,0.28,0.37,0.15,0.32,0.38,0.1,0.04,0.1,0.09,0.07,0.07,0.05,0.07,0.07,0.06
b_1,0.39,0.34,0.43,0.22,0.13,0.31,0.11,0.07,0.11,0.11,0.07,0.13,0.06,0.08,0.07,0.05
a_1,0.37,0.32,0.39,0.38,0.2,0.1,0.12,0.08,0.11,0.09,0.07,0.1,0.06,0.12,0.08,0.05
h_1,0.32,0.31,0.34,0.32,0.27,0.28,0.05,0.07,0.1,0.06,0.07,0.07,0.06,0.06,0.06,0.05
d_0,0.4,0.21,0.31,0.35,0.36,0.29,0.09,0.05,0.1,0.07,0.07,0.07,0.05,0.06,0.07,0.06
g_1,0.32,0.31,0.33,0.35,0.36,0.25,0.07,0.08,0.04,0.07,0.06,0.07,0.04,0.07,0.07,0.06
c_0,0.21,0.38,0.34,0.47,0.33,0.27,0.1,0.1,0.09,0.05,0.07,0.08,0.05,0.07,0.07,0.05
f_0,0.29,0.32,0.45,0.34,0.32,0.28,0.09,0.07,0.06,0.07,0.04,0.07,0.05,0.05,0.06,0.03
b_0,0.26,0.3,0.32,0.43,0.37,0.28,0.1,0.08,0.08,0.04,0.07,0.04,0.05,0.07,0.07,0.05
h_0,0.3,0.29,0.34,0.31,0.34,0.27,0.12,0.07,0.09,0.07,0.07,0.06,0.06,0.06,0.06,0.04
a_0,0.29,0.35,0.33,0.35,0.35,0.36,0.08,0.08,0.07,0.06,0.06,0.04,0.05,0.03,0.06,0.04
e_0,0.27,0.42,0.48,0.36,0.28,0.23,0.09,0.07,0.07,0.07,0.04,0.07,0.04,0.05,0.03,0.04
g_0,0.3,0.34,0.39,0.3,0.28,0.3,0.08,0.07,0.1,0.07,0.07,0.07,0.04,0.06,0.06,0.05
