,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.49,0.51,0.72,0.48,0.41,0.34,0.46,0.46,0.52,0.53,0.42,0.21,0.51,0.38,0.39,0.46
d_1,0.48,1.51,0.47,0.43,0.41,0.37,0.52,0.46,0.89,0.26,0.68,0.49,0.63,0.5,0.48,0.45
e_1,0.49,0.4,1.52,0.48,0.42,0.33,0.53,0.51,0.56,0.91,0.61,0.5,0.64,0.45,0.29,0.69
c_1,0.48,0.44,0.43,1.57,0.79,0.39,0.47,0.49,0.24,0.48,0.51,0.55,0.59,0.43,0.48,0.68
b_1,0.48,0.5,0.49,0.35,1.61,0.72,0.62,0.41,0.58,0.67,0.15,0.65,0.62,0.57,0.46,0.56
a_1,0.52,0.6,0.54,0.5,0.34,1.75,0.63,0.65,0.61,0.54,0.61,0.61,0.81,0.32,0.47,0.53
h_1,1.02,0.81,0.68,0.84,0.53,0.43,1.7,0.98,0.8,0.74,0.71,0.79,0.58,0.65,0.72,0.97
g_1,0.73,1.13,0.7,0.71,0.71,0.5,0.82,1.76,0.71,0.67,0.8,0.98,0.78,0.86,0.62,0.55
c_0,0.98,0.75,0.73,0.51,0.62,0.66,0.88,0.93,1.53,0.81,1.4,0.84,1.16,0.94,0.8,0.92
d_0,0.87,0.4,0.66,1.34,0.66,0.64,0.92,0.84,0.7,1.51,0.81,1.02,0.94,0.74,0.79,0.79
b_0,1.04,0.71,0.79,0.79,0.54,0.63,0.98,0.92,0.79,0.92,1.55,0.86,1.04,1.35,0.74,0.9
f_0,0.67,0.99,0.67,0.89,0.59,0.58,1.08,0.89,0.99,0.83,1.03,1.6,1.26,0.92,1.43,0.84
h_0,1.17,0.76,0.66,0.75,0.84,0.54,0.57,1.05,0.74,0.88,0.93,0.8,0.76,0.77,0.85,1.16
a_0,1.09,0.72,0.91,0.8,0.72,,1.07,0.8,0.83,0.98,0.77,0.96,1.13,1.69,0.95,1.09
e_0,0.85,0.95,0.42,0.99,0.84,0.61,1.12,1.0,0.95,0.92,1.04,0.85,0.95,0.69,1.71,0.95
g_0,0.95,1.38,0.51,0.71,0.75,0.55,1.03,0.62,1.04,0.77,0.94,1.28,0.98,0.79,0.77,0.66
