,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,16.23,0.55,0.62,0.46,0.6,0.52,0.92,0.9,2.27,0.77,1.1,0.77,0.85,1.12,0.51,1.01
f_1,0.99,17.32,0.56,0.55,0.47,0.45,0.76,0.73,0.75,0.73,0.36,0.94,0.88,0.94,0.64,0.89
c_1,0.57,0.48,18.24,0.45,1.03,0.49,0.9,0.77,0.72,0.37,0.95,0.75,0.93,1.0,0.92,0.88
d_1,0.52,0.54,0.38,21.76,0.45,0.58,0.84,1.05,0.29,2.04,1.04,1.32,1.29,0.97,1.02,0.99
b_1,0.39,0.5,0.57,0.6,20.47,1.16,0.82,0.72,0.98,0.92,0.95,0.45,0.66,0.88,1.0,1.16
a_1,0.4,0.65,0.6,0.56,0.55,33.68,1.0,0.77,0.88,1.02,0.88,0.82,0.28,0.91,1.33,0.69
h_1,0.69,1.06,0.62,0.65,0.56,0.64,5.32,1.58,1.08,0.91,0.97,1.15,1.03,0.58,1.17,1.51
g_1,0.58,0.52,0.69,1.47,0.56,0.65,1.02,6.47,0.72,1.28,1.91,1.3,1.07,1.17,1.26,0.59
d_0,0.58,0.81,1.93,0.29,0.6,0.6,1.12,0.95,2.95,0.75,1.08,0.97,1.04,1.13,0.84,1.28
c_0,0.7,0.87,0.39,0.76,0.54,0.62,1.25,1.33,1.03,3.83,1.32,3.63,1.41,1.26,1.28,1.27
f_0,0.69,0.41,0.8,0.67,0.65,0.71,1.29,1.18,1.32,1.16,4.22,1.59,1.75,1.4,3.27,1.18
b_0,0.72,0.72,0.76,0.91,0.2,0.39,1.2,1.75,0.9,1.45,1.15,4.83,2.77,1.21,1.31,1.16
a_0,0.71,0.79,0.7,0.71,0.65,0.38,1.24,1.42,0.92,1.19,1.77,1.19,5.15,1.36,1.43,1.12
h_0,0.59,1.34,0.67,0.83,0.57,0.54,0.57,1.41,1.22,1.27,0.91,1.02,1.57,0.64,1.1,1.62
e_0,0.25,0.9,0.67,0.98,0.76,0.78,1.34,1.08,0.95,1.46,1.13,1.15,0.87,1.38,5.59,1.25
g_0,0.55,0.69,0.82,1.41,0.53,0.61,1.19,0.56,0.86,0.97,2.06,1.24,1.24,1.1,1.48,0.8
