,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.2,0.59,0.63,0.4,0.43,0.31,0.86,1.84,0.88,1.13,0.62,0.9,1.28,0.88,0.35,1.05
f_1,0.94,2.21,0.48,0.44,0.41,0.28,0.75,0.89,0.83,0.69,0.59,0.32,1.01,0.89,0.6,0.91
c_1,0.48,0.48,2.37,0.49,0.84,0.37,0.94,0.95,0.25,0.5,0.55,0.68,1.0,0.61,0.96,1.08
d_1,0.54,0.54,0.3,2.47,0.41,0.39,0.9,0.43,1.87,1.29,0.89,1.04,1.29,0.83,0.87,1.27
b_1,0.4,0.55,0.54,0.5,2.59,0.75,0.78,1.09,0.91,0.37,0.49,0.85,1.06,0.67,0.75,0.89
a_1,0.42,0.59,0.53,0.49,0.39,3.1,0.94,1.1,1.27,1.02,0.7,0.9,1.64,0.35,0.95,0.94
h_1,0.56,0.9,0.63,0.56,0.47,0.42,3.03,0.9,1.19,1.16,1.1,1.18,0.65,0.79,1.01,1.6
d_0,0.69,0.56,1.26,0.26,0.52,0.36,1.11,2.51,0.86,1.16,0.81,1.07,1.34,0.98,0.9,1.44
c_0,0.74,0.69,0.28,0.65,0.46,0.43,1.12,1.23,2.65,2.1,0.99,1.23,1.6,1.13,1.03,1.25
b_0,0.81,0.77,0.64,0.51,0.21,0.3,1.17,1.45,1.46,2.9,1.0,0.99,1.62,2.28,0.97,1.57
g_1,0.57,0.61,0.54,0.81,0.5,0.39,1.31,0.9,1.4,1.25,3.68,1.62,1.33,1.11,1.08,0.72
f_0,0.44,0.44,0.66,0.71,0.45,0.42,1.26,1.38,1.26,1.3,1.29,3.23,1.85,0.91,2.42,1.67
h_0,0.58,0.87,0.65,0.66,0.46,0.46,0.67,1.1,1.31,1.16,1.46,1.04,1.0,0.89,1.06,1.74
a_0,0.72,0.67,0.69,0.61,0.42,0.19,1.21,1.48,1.22,1.19,1.27,1.2,1.56,3.06,1.2,1.57
e_0,0.32,0.78,0.56,0.8,0.49,0.48,1.11,1.01,1.3,1.07,1.27,1.19,1.88,1.04,3.15,1.52
g_0,0.45,0.54,0.68,1.0,0.6,0.38,1.14,1.03,1.35,1.02,0.49,1.91,1.59,0.88,1.08,0.99
