,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.79,1.24,0.9,0.91,0.76,0.7,0.68,0.84,0.77,0.68,0.63,0.53,0.61,0.52
d_1,1.19,1.0,0.93,0.94,1.06,0.88,0.69,0.49,0.89,0.77,0.62,0.55,0.63,0.52,0.58,0.44
f_1,1.26,1.08,1.0,0.87,0.93,0.81,0.66,0.74,0.61,0.69,0.45,0.59,0.47,0.59,0.45,0.63
c_1,0.81,1.07,1.15,1.0,1.43,0.76,0.65,0.85,0.54,0.48,0.68,0.45,0.65,0.59,0.59,0.58
b_1,1.11,0.95,1.08,0.7,1.0,1.32,0.82,0.69,0.64,0.66,0.66,0.6,0.71,0.67,0.73,0.62
a_1,1.1,1.14,1.24,1.32,0.76,1.0,0.81,0.91,0.74,0.86,0.76,1.06,0.69,0.7,0.63,0.73
h_1,1.25,1.49,1.56,1.48,1.21,1.17,1.0,1.02,0.83,0.78,0.86,0.95,0.74,0.72,0.7,0.93
g_1,1.41,2.06,1.37,1.15,1.4,1.11,0.96,1.0,0.9,1.01,1.08,0.95,0.58,0.79,0.83,0.95
c_0,1.45,1.11,1.68,2.06,1.67,1.39,1.22,1.09,1.0,1.16,0.89,1.29,0.78,1.1,0.98,1.01
d_0,1.16,1.4,1.53,2.05,1.5,1.07,1.24,0.96,0.81,1.0,0.97,1.04,0.86,0.84,0.83,0.93
f_0,1.3,1.61,2.17,1.45,1.6,1.4,1.24,0.9,1.09,1.01,1.0,1.05,1.07,0.92,1.43,0.86
b_0,1.46,1.82,1.76,2.24,1.37,0.94,1.07,0.98,0.73,0.91,0.92,1.0,1.17,1.39,0.82,0.76
h_0,1.54,1.63,2.14,1.62,1.37,1.51,1.4,1.7,1.25,1.19,0.99,0.88,1.0,0.98,0.84,1.19
a_0,1.92,1.8,1.73,1.68,1.55,,1.33,1.29,0.95,1.19,1.12,0.71,1.16,1.0,1.18,1.1
e_0,1.77,1.78,2.36,1.63,1.4,1.52,1.37,1.21,1.03,1.18,0.66,1.22,1.22,0.96,1.0,0.97
g_0,1.91,2.21,1.57,1.7,1.6,1.38,1.07,1.08,1.01,1.12,1.14,1.25,0.83,0.92,1.13,1.0
