,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,7567.87,2500.98,3111.11,5818.25,5947.12,32083.15,4095131.07,17730098.94,9128481.38,10084344.12,23222850.72,29186869.92,105594358.71,91403176.53,192838600.32,383446451.28
f_1,2984.4,10754.95,3457.97,4221.18,5957.15,29980.19,3622412.71,7175641.41,7114456.17,10954465.62,24589817.11,10326396.14,96929073.29,110981617.96,194119230.88,292683310.57
d_1,1655.5,2466.77,19175.5,3590.41,5443.92,28718.44,4188262.88,4071000.09,9844628.26,25140798.08,28356229.14,35151221.09,108718546.97,172786089.83,175998363.23,364423529.41
c_1,1428.18,2492.29,3639.13,22835.35,11114.6,34324.39,4107202.29,6549845.48,8903363.01,3650388.83,19248939.67,28347278.68,98582112.64,113656235.18,156772929.96,411161372.3
b_1,1823.19,2154.6,3661.46,3942.65,34657.38,70080.42,4017382.38,8426510.02,8853269.04,8900932.8,7161690.19,32961826.27,116283767.78,119964553.62,124829822.5,414412163.1
a_1,1508.66,3055.91,4177.37,4251.56,5138.11,298390.16,4462811.63,9244204.53,8366638.51,16385695.87,22999045.91,30195636.0,100752714.95,150960041.11,55711656.5,423994888.18
h_1,2056.44,4005.29,4640.62,5495.97,7577.57,36152.0,13937627.9,9706496.91,14209066.97,13535590.31,24770756.19,30527241.82,71919817.05,172279385.75,189432373.47,537858585.86
d_0,2114.56,2790.01,2180.49,10937.07,7617.62,41496.21,4517946.05,22356524.64,10052419.49,12183301.43,24534513.35,43322137.95,122403862.55,169183350.42,220296412.35,484396521.74
g_1,1969.7,2155.38,7852.08,4066.78,6557.75,44322.58,4192795.18,8984276.06,38565926.04,14684534.22,24736122.15,63965440.44,122633000.74,199481394.03,284194861.09,263767182.66
c_0,2377.87,3374.87,6228.01,2839.27,6609.58,32744.2,5432382.53,8017464.2,11257482.15,33642915.58,55312337.26,37382650.77,134036824.4,212486952.63,261138767.96,443787086.61
b_0,2899.59,3125.96,5822.76,4823.44,2210.87,32846.68,4645875.97,11663223.84,11195672.39,16266079.17,66737211.51,38764046.7,140466842.69,215004673.42,541975990.61,428962909.09
f_0,2289.54,2045.36,5550.73,5001.21,6474.04,41035.78,6301251.19,11566165.11,14155447.85,17820804.85,30106592.74,90479188.18,141114048.81,403301024.2,164826492.35,559919223.3
h_0,2315.36,4006.62,5606.98,5536.97,5590.04,38696.87,2653984.7,10698666.91,15386356.36,15834566.08,30954759.83,36632690.18,71165036.36,197746773.21,205037786.38,680687922.71
e_0,1163.36,4047.39,4667.14,5960.73,6051.87,37007.85,5986543.03,11927696.03,10313254.87,18730029.59,28930416.81,50867106.94,121590547.84,593428649.9,214329199.69,543012571.43
a_0,2248.46,3391.58,5956.01,5818.43,5198.5,16427.07,5079677.64,10274187.19,15136096.35,15564110.34,31452025.05,35087938.19,149875281.4,232888519.06,731362717.72,493493975.9
g_0,1894.5,2502.23,7594.34,6868.33,7714.26,35222.38,5025289.17,8315446.62,7549572.19,15167651.41,24259359.93,59344958.1,113484511.32,202141145.95,210569038.29,316757333.33
