,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.75,1.08,1.26,1.05,1.07,0.53,0.49,0.53,0.36,0.41,0.43,0.34,0.37,0.47,0.31
f_1,1.21,0.66,0.92,1.11,1.07,0.84,0.36,0.51,0.42,0.36,0.35,0.45,0.25,0.33,0.35,0.31
d_1,1.16,1.23,0.64,1.1,1.01,0.93,0.49,0.35,0.51,0.45,0.43,0.37,0.32,0.35,0.32,0.22
c_1,0.98,1.14,1.36,0.63,1.31,0.97,0.46,0.52,0.27,0.41,0.37,0.35,0.34,0.34,0.36,0.36
b_1,1.22,1.19,1.31,0.7,0.62,1.32,0.59,0.62,0.42,0.61,0.52,0.41,0.38,0.43,0.39,0.33
a_1,1.3,1.85,1.41,1.37,0.81,0.57,0.68,0.57,0.52,0.54,0.65,0.53,0.38,0.64,0.49,0.43
h_1,1.65,2.17,1.56,1.96,1.6,1.41,0.55,0.79,0.65,0.59,0.63,0.59,0.64,0.51,0.54,0.56
g_1,2.03,1.99,1.89,1.89,1.73,1.56,0.69,0.53,0.74,0.67,0.69,0.65,0.43,0.66,0.47,0.58
d_0,1.17,1.86,2.28,2.24,2.1,1.84,0.97,1.03,0.58,0.66,0.64,0.7,0.6,0.65,0.7,0.63
c_0,2.23,2.2,1.29,2.85,1.71,1.62,0.96,0.79,0.98,0.57,0.89,0.8,0.59,0.67,0.73,0.55
b_0,1.94,2.22,1.65,2.73,2.53,1.59,0.95,0.83,0.85,0.46,0.54,0.64,0.7,0.93,0.67,0.59
f_0,1.94,2.57,2.07,2.39,2.16,1.56,0.98,0.69,0.74,0.68,0.72,0.54,0.64,0.8,0.83,0.47
h_0,2.08,2.44,2.13,2.31,1.98,1.94,1.05,1.13,0.8,0.79,0.73,0.72,0.72,0.78,0.7,0.66
a_0,2.21,2.62,2.18,2.52,2.44,2.64,1.19,1.12,0.95,0.8,0.5,0.84,0.67,0.54,0.81,0.6
e_0,2.87,3.16,2.38,2.27,2.33,1.99,1.15,1.1,0.81,0.87,0.93,0.48,0.72,0.84,0.54,0.64
g_0,2.36,2.45,2.65,2.6,2.22,2.21,0.83,1.23,0.87,0.93,0.93,0.88,0.66,0.9,0.79,0.81
