,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.89,0.35,0.16,0.16,0.15,0.09,0.18,0.13,0.18,0.15,0.06,0.13,0.16,0.07,0.11,0.1
e_1,0.23,0.89,0.23,0.15,0.13,0.11,0.15,0.11,0.32,0.15,0.17,0.15,0.16,0.06,0.11,0.14
c_1,0.19,0.16,0.89,0.17,0.3,0.07,0.18,0.13,0.17,0.06,0.15,0.09,0.19,0.12,0.09,0.14
d_1,0.23,0.17,0.15,0.89,0.15,0.07,0.17,0.13,0.08,0.33,0.17,0.15,0.19,0.11,0.09,0.17
b_1,0.19,0.17,0.21,0.16,0.88,0.21,0.17,0.11,0.14,0.13,0.13,0.05,0.15,0.1,0.09,0.12
a_1,0.2,0.22,0.21,0.18,0.12,0.87,0.15,0.14,0.17,0.11,0.17,0.17,0.17,0.13,0.04,0.11
h_1,0.32,0.22,0.22,0.23,0.16,0.11,0.54,0.22,0.19,0.17,0.17,0.15,0.11,0.14,0.1,0.19
g_1,0.21,0.17,0.2,0.38,0.17,0.12,0.17,0.55,0.18,0.19,0.29,0.18,0.18,0.12,0.13,0.09
d_0,0.23,0.24,0.42,0.09,0.18,0.14,0.18,0.17,0.39,0.14,0.2,0.17,0.21,0.12,0.14,0.15
c_0,0.29,0.24,0.15,0.27,0.11,0.12,0.18,0.16,0.22,0.41,0.19,0.38,0.24,0.14,0.14,0.21
f_0,0.13,0.18,0.27,0.26,0.21,0.13,0.19,0.15,0.24,0.19,0.44,0.2,0.23,0.26,0.1,0.16
b_0,0.24,0.24,0.22,0.29,0.08,0.08,0.19,0.2,0.22,0.21,0.18,0.43,0.27,0.13,0.27,0.16
h_0,0.31,0.23,0.24,0.24,0.18,0.1,0.13,0.24,0.22,0.2,0.18,0.18,0.14,0.13,0.15,0.22
e_0,0.27,0.1,0.24,0.26,0.2,0.13,0.19,0.19,0.2,0.25,0.22,0.24,0.25,0.38,0.15,0.18
a_0,0.24,0.21,0.26,0.28,0.16,0.06,0.23,0.18,0.21,0.2,0.17,0.19,0.24,0.11,0.38,0.2
g_0,0.19,0.21,0.2,0.36,0.21,0.11,0.18,0.11,0.17,0.2,0.31,0.18,0.24,0.16,0.13,0.1
