,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.26,0.97,0.89,0.68,0.59,0.39,0.45,0.42,0.39,0.37,0.31,0.3,0.32,0.3,0.24
e_1,0.8,1.0,1.13,0.9,1.04,0.72,0.5,0.47,0.62,0.4,0.39,0.45,0.41,0.35,0.33,0.36
c_1,1.04,0.88,1.0,1.05,1.15,0.74,0.53,0.46,0.32,0.34,0.33,0.39,0.35,0.3,0.34,0.33
d_1,1.15,1.1,0.96,1.0,0.86,0.76,0.48,0.38,0.43,0.54,0.41,0.4,0.37,0.35,0.27,0.32
b_1,1.47,0.98,0.87,1.16,1.0,1.11,0.61,0.54,0.48,0.53,0.48,0.42,0.45,0.33,0.4,0.29
a_1,1.66,1.37,1.36,1.24,0.93,1.0,0.72,0.66,0.7,0.56,0.55,0.59,0.6,0.49,0.47,0.37
h_1,2.61,2.02,1.81,2.04,1.65,1.37,1.0,1.0,0.85,0.82,0.84,0.73,0.82,0.65,0.75,0.59
g_1,2.3,2.21,2.12,2.54,1.89,1.53,0.98,1.0,0.93,0.87,0.92,0.98,0.74,0.86,0.69,0.75
d_0,2.21,1.63,3.14,2.29,2.16,1.37,1.21,1.09,1.0,0.72,0.88,0.94,0.89,0.82,0.8,0.8
c_0,2.59,2.56,2.9,1.91,1.79,1.73,1.15,1.13,1.35,1.0,1.26,0.98,1.03,1.13,0.89,0.93
b_0,2.79,2.56,3.04,2.43,2.11,1.85,1.25,1.07,1.07,0.74,1.0,0.9,0.93,1.18,0.78,0.76
f_0,3.05,2.26,2.66,2.46,2.22,1.7,1.32,1.0,1.14,1.02,1.1,1.0,1.07,0.94,0.68,1.2
h_0,3.27,2.5,2.74,2.63,2.29,1.68,1.18,1.35,1.14,0.98,1.06,0.91,1.0,0.93,0.92,0.78
a_0,3.05,2.86,3.13,2.97,3.0,2.03,1.47,1.19,1.2,0.89,0.88,1.11,1.05,1.0,0.88,0.97
g_0,3.43,2.98,2.95,3.55,2.61,2.05,1.37,1.45,1.2,1.11,1.22,1.48,1.06,1.1,1.0,1.07
e_0,4.2,2.81,3.28,3.05,3.52,2.79,1.74,1.32,1.36,1.1,1.37,0.87,1.26,0.99,0.94,1.0
