,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.99,2.24,2.92,3.75,3.05,2.5,11.59,20.66,9.78,12.08,14.67,13.61,19.68,16.12,12.9,20.2
d_1,2.61,6.38,3.13,2.34,2.75,2.49,10.22,10.29,10.59,21.74,16.87,15.08,22.31,16.21,17.12,22.86
f_1,4.13,2.51,6.38,2.79,2.89,2.97,9.07,13.11,8.67,11.45,13.3,8.73,20.67,15.43,10.14,19.11
c_1,2.63,2.57,2.87,6.87,5.02,3.29,9.97,12.54,9.87,7.29,9.05,13.19,18.48,14.16,13.14,18.92
b_1,2.73,2.81,2.98,2.76,7.77,5.85,10.03,11.35,10.27,12.0,9.43,11.78,19.17,9.77,13.52,19.95
a_1,2.71,3.06,3.36,3.11,2.54,11.19,10.5,12.5,11.41,12.46,13.12,12.96,21.89,10.85,13.24,20.22
h_1,2.92,3.19,4.16,2.84,2.97,2.6,18.09,11.5,12.79,12.71,14.75,13.02,16.08,17.51,14.73,25.48
d_0,2.93,2.26,2.98,5.27,3.6,2.85,11.43,18.79,10.74,9.03,14.36,12.04,20.49,17.05,15.27,20.81
g_1,2.56,4.3,2.63,2.99,2.99,3.08,10.03,10.74,22.36,13.72,13.79,23.36,18.9,15.76,17.85,19.41
c_0,2.96,3.32,3.46,2.52,2.4,2.97,11.06,15.04,10.67,21.31,26.44,15.48,25.69,19.91,17.13,23.07
b_0,3.21,2.97,3.3,3.47,2.41,2.34,12.77,14.54,12.64,14.25,23.74,16.98,25.13,30.61,16.14,21.44
f_0,2.7,3.42,2.41,3.17,3.45,3.29,11.94,15.36,12.75,15.41,15.46,25.55,21.53,19.62,33.68,25.72
h_0,2.89,3.45,3.54,3.28,2.71,2.97,8.88,12.59,13.18,13.2,13.25,14.21,17.5,15.39,14.79,27.92
a_0,3.24,3.45,3.07,3.58,3.26,1.95,11.44,14.86,13.21,12.43,13.74,13.93,24.69,27.36,16.59,20.42
e_0,2.6,3.57,3.15,2.87,3.11,2.85,12.41,16.12,11.68,13.91,18.43,14.77,26.79,18.68,31.64,25.47
g_0,2.61,4.31,2.88,2.92,2.76,2.61,11.13,12.56,8.6,16.2,16.79,19.99,21.06,16.87,18.96,20.65
