,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.61,2.97,2.46,3.58,2.74,2.91,11.3,20.92,10.87,11.64,13.44,14.25,20.76,11.95,13.92,21.63
f_1,4.22,6.02,2.43,2.85,2.85,2.61,9.24,12.85,9.41,11.8,14.3,8.81,19.35,10.21,15.74,18.36
d_1,2.73,2.92,6.8,2.33,2.39,2.46,11.63,9.58,11.51,22.68,17.09,15.46,22.56,17.77,18.09,21.62
c_1,2.39,2.74,2.79,6.93,5.09,3.09,10.47,10.6,10.0,8.24,9.41,12.85,19.28,12.29,12.33,19.77
b_1,2.65,2.68,2.67,2.83,7.52,5.84,10.28,12.82,10.67,11.49,10.16,15.1,22.46,12.77,10.94,20.18
a_1,2.6,3.14,2.9,2.91,2.64,11.41,10.84,12.02,10.72,13.97,13.96,14.34,19.97,14.75,9.62,24.03
h_1,2.93,3.68,3.12,2.97,2.96,2.6,19.17,13.44,14.49,13.89,13.88,13.0,17.35,14.98,13.78,26.67
d_0,2.53,2.99,2.26,5.12,3.38,2.96,10.89,19.41,10.01,9.59,12.4,16.48,21.0,15.8,14.98,22.61
g_1,2.71,2.82,4.42,2.6,2.8,2.87,9.9,12.06,23.18,15.33,14.73,21.93,22.52,17.2,17.34,21.42
c_0,3.08,3.34,3.43,2.39,2.46,2.74,13.08,13.31,11.99,20.89,25.63,15.19,22.64,17.39,23.45,21.04
b_0,3.49,3.33,3.42,3.15,1.85,2.32,12.29,15.56,12.23,15.46,23.8,15.42,23.93,17.95,36.28,21.24
f_0,2.6,2.9,3.46,2.89,3.14,3.3,13.59,14.59,12.99,15.19,15.76,24.25,23.64,31.16,13.33,26.1
h_0,2.92,4.02,3.36,2.93,2.88,2.69,8.86,13.02,14.18,13.42,14.23,15.76,16.94,15.73,17.81,30.14
e_0,2.63,3.78,3.11,3.05,2.94,2.77,13.51,13.81,11.68,14.47,14.96,17.04,23.35,34.09,16.52,23.77
a_0,2.96,3.53,3.48,2.89,2.65,1.46,12.6,14.88,14.1,15.6,15.12,16.42,23.92,18.38,33.75,23.13
g_0,2.85,2.69,4.41,3.05,3.37,2.9,11.62,10.2,9.29,14.87,13.38,22.37,19.71,16.46,14.7,18.4
