,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.83,2.78,1.27,1.42,1.34,1.23,5.83,6.19,4.56,5.72,7.03,3.65,10.97,6.79,5.15,10.19
e_1,1.69,5.97,2.03,1.13,1.53,1.44,5.47,12.42,5.38,6.77,7.13,7.44,9.92,7.04,3.98,11.51
c_1,1.37,1.29,6.47,1.31,2.99,1.69,5.39,6.43,4.98,2.21,4.86,7.01,10.44,8.19,8.18,10.67
d_1,1.79,1.25,1.23,6.75,1.34,1.33,5.81,4.16,6.17,14.73,9.74,7.07,12.24,8.74,8.96,11.62
b_1,1.54,1.35,1.62,1.27,7.41,3.2,5.91,6.8,5.0,5.88,2.8,8.42,10.0,6.18,8.15,9.25
a_1,1.54,1.61,1.65,1.83,1.34,11.18,5.34,7.27,7.37,6.61,5.45,8.05,11.85,3.77,6.85,8.9
h_1,2.6,1.92,1.8,2.12,1.36,1.41,17.22,6.79,8.74,8.11,8.2,7.49,7.91,8.88,9.25,17.63
d_0,1.99,1.76,3.35,1.11,1.85,1.83,6.75,15.09,6.76,6.45,9.69,7.08,11.46,8.45,8.92,13.24
g_1,1.59,1.39,1.83,3.32,1.68,1.57,5.78,7.57,20.84,8.98,9.05,15.22,10.91,8.27,11.37,8.48
c_0,2.11,1.7,1.44,2.29,1.36,1.82,6.82,10.17,8.25,18.0,18.26,8.76,16.72,11.07,9.54,14.48
b_0,2.05,2.04,2.06,2.1,0.91,1.11,7.28,9.69,8.5,10.73,20.87,10.07,15.67,20.34,8.29,15.62
f_0,1.19,1.64,2.14,2.38,1.8,1.79,6.9,8.29,7.5,8.45,8.52,20.8,15.84,9.77,20.6,15.16
h_0,2.62,1.92,1.72,2.24,1.75,1.64,4.29,6.97,8.95,8.23,7.74,8.56,8.52,8.89,9.74,17.55
a_0,1.97,1.97,2.16,2.06,1.67,0.88,7.73,7.04,7.4,8.6,9.39,9.77,13.48,23.79,12.4,14.01
e_0,1.94,0.85,2.12,2.62,2.18,1.73,7.39,8.66,6.82,8.23,10.67,8.81,14.96,10.79,25.69,15.31
g_0,1.93,1.42,1.96,2.92,1.77,2.23,5.82,6.29,4.46,7.96,8.25,12.84,14.29,10.46,9.9,8.92
