,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,10.78,13.06,17.57,11.34,14.68,2.5,2.76,3.51,2.09,3.37,,1.09,3.29,3.01,3.12
e_1,7.79,0.17,13.63,14.48,16.39,12.7,3.07,3.07,3.47,2.37,2.45,3.7,1.73,3.26,,1.59
d_1,13.41,18.87,0.16,16.37,10.7,11.94,3.86,2.34,1.61,,2.92,2.34,1.61,2.87,2.92,1.66
c_1,16.27,12.07,19.34,0.14,21.73,13.91,3.03,,3.12,1.4,2.26,2.92,1.5,2.31,1.72,2.27
b_1,11.05,17.05,15.45,5.96,0.14,18.52,4.66,2.78,2.95,2.99,,2.52,2.54,2.93,2.07,1.35
a_1,11.86,12.7,16.59,15.55,7.86,0.1,2.64,2.98,3.69,2.31,3.62,3.22,2.5,,,1.77
h_1,2.96,3.07,3.33,2.95,3.35,2.84,0.07,0.73,1.29,0.58,0.66,0.81,,0.67,0.75,0.44
c_0,3.1,2.45,1.3,,3.09,2.6,0.82,0.09,0.61,0.77,0.54,0.5,0.35,0.46,0.44,0.33
g_1,3.93,5.11,3.96,3.83,3.18,4.54,0.68,0.76,0.06,0.88,0.7,0.72,0.27,0.57,,
d_0,2.4,1.44,,3.43,2.78,2.31,0.95,0.56,1.53,0.08,0.56,0.45,0.28,0.51,0.42,0.31
b_0,3.24,2.69,2.21,2.33,,3.9,0.66,0.29,0.95,0.44,0.07,0.42,0.61,0.65,0.47,0.31
f_0,,3.22,2.2,2.79,3.5,2.05,0.85,0.5,0.51,0.54,0.47,0.06,0.4,0.72,0.66,0.18
h_0,2.01,1.69,1.57,1.54,1.33,1.48,,0.29,0.75,0.36,0.27,0.35,,0.23,,0.25
a_0,2.37,4.51,3.38,2.54,2.49,,0.67,0.46,0.63,0.65,0.23,0.41,0.43,0.05,,0.51
e_0,3.01,,2.76,3.32,2.28,,0.59,0.37,,0.63,0.59,0.27,,,0.05,
g_0,1.61,1.5,1.71,1.26,1.65,1.68,0.39,0.47,,0.43,0.44,0.41,0.21,0.34,,
