,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.01,0.09,0.08,0.09,0.11,0.15,0.17,,0.18,0.24,0.24,0.23,0.18,0.41,0.26,0.19
e_1,0.06,0.01,0.05,0.07,0.11,0.14,0.22,0.17,0.26,0.19,0.28,0.23,0.24,0.23,,0.31
f_1,0.08,0.1,0.01,0.08,0.08,0.17,0.12,0.17,0.26,0.16,,0.21,0.14,0.27,0.23,0.26
c_1,0.07,0.06,0.06,0.01,0.08,0.12,0.13,0.08,0.19,,0.14,0.18,0.22,0.29,,0.29
b_1,0.04,0.04,0.05,0.03,,0.06,0.09,0.06,0.1,0.11,0.08,,0.11,0.18,0.16,0.14
a_1,0.01,0.01,0.01,0.02,0.01,,0.04,0.03,0.05,0.05,0.05,0.05,0.06,,,0.05
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
