,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,2.34,3.7,3.88,4.61,3.29,1.88,1.79,1.64,1.71,1.56,1.88,1.3,1.42,,1.36
f_1,4.43,0.41,3.26,3.8,4.0,3.79,1.3,1.66,2.31,1.35,1.75,,1.33,1.16,1.08,1.56
c_1,3.3,4.02,0.4,3.63,4.14,5.06,1.99,0.95,2.11,,1.34,1.63,1.41,1.94,1.34,1.32
d_1,3.88,3.59,3.74,0.39,3.56,3.92,2.08,,1.5,1.95,1.36,1.59,1.24,2.26,1.41,0.8
b_1,3.12,3.85,2.21,3.24,0.37,3.87,1.88,1.56,2.01,2.14,,1.71,1.34,1.98,1.74,1.77
a_1,4.39,2.73,3.46,4.9,2.45,0.31,1.96,1.82,,1.59,1.77,1.62,1.61,,1.56,1.16
h_1,1.78,2.36,1.4,2.41,1.81,1.43,0.25,0.73,1.16,0.69,0.84,0.89,,0.81,0.79,0.67
d_0,1.01,1.66,2.09,,1.66,1.39,0.97,0.29,1.13,0.69,0.71,0.61,0.59,0.64,0.74,0.64
g_1,2.15,1.93,1.69,1.86,1.76,,0.68,0.71,0.24,0.9,0.93,0.98,0.57,,0.98,
c_0,1.82,1.77,,0.85,1.27,1.46,1.18,0.78,0.83,0.29,0.94,0.71,0.53,0.59,,0.64
b_0,1.98,1.3,2.07,1.67,,1.57,0.76,0.81,0.84,0.43,0.26,0.7,0.63,0.78,0.8,0.87
f_0,1.5,,1.68,1.71,1.57,2.03,0.72,1.0,0.52,0.67,0.79,0.26,0.67,0.84,0.92,0.41
h_0,1.19,1.11,1.2,1.31,1.39,1.02,,0.61,0.61,0.69,0.66,0.57,,0.58,0.52,0.63
a_0,1.74,2.4,1.82,1.59,1.83,,0.81,0.81,,0.64,0.47,0.58,0.58,0.22,,0.51
e_0,,2.61,1.9,1.72,1.53,1.56,1.06,0.67,0.64,,0.67,0.45,0.64,,0.21,0.62
g_0,1.48,1.31,1.49,1.59,1.01,1.69,0.62,0.57,,0.59,0.56,0.6,0.32,0.72,0.58,
