,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,14.69,0.59,0.45,0.83,0.52,0.56,0.91,2.25,0.89,0.71,0.95,0.89,0.96,0.65,0.98,0.98
f_1,1.12,15.27,0.5,0.53,0.57,0.49,0.75,0.75,0.67,0.81,1.03,0.35,0.89,0.66,1.04,0.7
d_1,0.5,0.58,19.59,0.45,0.48,0.46,0.91,0.42,0.97,2.34,1.21,1.12,1.02,1.16,1.0,0.93
c_1,0.41,0.58,0.55,18.88,1.3,0.57,0.88,0.64,0.85,0.27,0.73,0.85,0.89,0.77,0.8,0.99
b_1,0.54,0.49,0.55,0.51,20.08,1.35,0.9,0.85,0.84,0.68,0.33,1.02,1.13,0.81,0.64,1.0
a_1,0.44,0.73,0.67,0.56,0.49,31.11,1.03,0.92,0.87,1.2,0.94,1.01,0.92,1.0,0.33,1.09
h_1,0.67,1.17,0.73,0.72,0.74,0.64,4.87,0.97,1.54,1.04,1.1,0.94,0.69,1.24,1.1,1.55
d_0,0.71,0.66,0.38,2.16,0.71,0.72,1.02,2.98,0.97,0.81,1.0,1.51,1.13,1.16,1.2,1.28
g_1,0.67,0.51,1.88,0.51,0.62,0.78,0.96,0.9,6.19,1.26,1.07,2.49,1.18,1.36,1.46,0.76
c_0,0.84,0.82,1.08,0.37,0.58,0.55,1.22,0.84,1.22,3.37,3.23,1.24,1.28,1.54,1.48,1.14
b_0,1.07,0.75,0.94,0.63,0.24,0.56,1.18,1.25,1.2,1.34,3.7,1.35,1.57,1.47,4.17,1.08
f_0,0.65,0.54,0.93,0.68,0.69,0.76,1.65,1.27,1.38,1.45,1.32,3.83,1.37,3.37,0.87,1.53
h_0,0.73,1.1,0.99,0.74,0.5,0.64,0.6,1.14,1.66,1.16,1.3,1.31,0.57,1.32,1.13,1.9
e_0,0.37,1.09,0.74,0.8,0.57,0.7,1.51,1.25,1.15,1.55,1.39,1.71,1.39,5.39,1.11,1.52
a_0,0.74,0.9,1.04,0.76,0.55,0.3,1.12,1.06,1.52,1.19,1.34,1.32,1.43,1.82,4.96,1.21
g_0,0.55,0.62,1.43,0.9,0.74,0.62,1.12,0.82,0.83,1.2,1.06,2.39,1.02,1.31,1.11,0.81
