,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.21,0.03,0.03,0.03,0.03,0.02,0.08,0.04,0.11,0.05,0.06,0.05,0.07,0.05,0.03,
f_1,0.06,2.24,0.02,0.03,0.03,0.02,0.05,0.06,0.07,0.08,0.06,,0.08,0.05,0.03,0.05
d_1,0.04,0.03,2.34,0.02,0.03,0.02,0.05,0.04,,0.13,0.06,0.06,0.08,0.06,0.07,0.04
c_1,0.03,0.03,0.03,2.38,0.04,0.02,0.07,0.06,0.06,,0.04,0.05,0.09,0.06,0.05,0.03
b_1,0.03,0.03,0.03,0.03,2.49,0.03,0.05,0.05,0.07,0.07,,0.05,0.11,0.07,0.04,0.04
a_1,0.03,0.03,0.02,0.03,0.03,3.04,0.06,0.05,0.08,0.04,0.05,0.05,0.07,0.08,,
h_1,0.1,0.15,0.11,0.08,0.11,0.07,2.61,0.2,0.24,0.2,0.24,0.28,,0.35,0.2,0.19
g_1,0.09,0.12,0.17,0.11,0.07,0.07,0.26,2.94,0.21,0.19,0.16,0.35,0.26,,0.18,0.18
d_0,0.14,0.16,,0.21,0.18,0.11,0.27,0.2,1.99,0.27,0.32,0.26,0.5,0.39,0.25,0.19
c_0,0.17,0.11,0.14,,0.09,0.1,0.35,0.33,0.33,2.11,0.56,0.34,0.27,0.46,0.24,
b_0,0.12,0.17,0.12,0.18,,0.1,0.35,0.25,0.37,0.26,2.18,0.28,0.42,0.38,0.37,0.23
f_0,0.16,,0.16,0.16,0.12,0.11,0.21,0.29,0.22,0.3,0.25,2.21,0.48,0.42,0.26,
h_0,0.2,0.34,0.19,0.18,0.23,0.16,,0.38,0.62,0.36,0.41,0.41,,0.64,0.39,0.46
g_0,0.2,0.19,0.45,0.18,0.22,0.19,0.33,,0.41,0.32,0.45,0.68,0.49,,,0.32
a_0,0.1,0.1,0.16,0.19,0.11,,0.26,0.19,0.34,0.52,0.39,0.22,0.6,,2.58,
e_0,,0.15,0.1,0.16,0.12,,0.28,0.29,0.34,,0.23,,0.36,0.43,,2.92
