,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.04,0.92,0.77,0.72,0.52,,0.55,0.28,0.49,0.41,0.35,0.32,0.35,0.22
f_1,0.85,1.0,1.15,1.11,1.0,0.66,0.46,0.47,0.49,0.39,0.4,,0.37,0.26,0.24,0.32
e_1,0.96,0.87,1.0,0.93,0.9,0.68,0.52,0.6,0.39,0.56,0.44,0.37,0.38,0.32,,0.34
c_1,1.08,0.9,1.07,1.0,1.22,,0.5,0.37,,0.48,0.33,0.4,0.41,0.42,0.37,0.41
b_1,1.31,1.0,1.11,0.82,1.0,1.31,0.65,0.55,0.42,0.49,,0.45,0.41,0.36,0.36,0.27
a_1,1.39,1.51,1.47,,0.76,1.0,0.47,0.47,0.57,0.57,0.6,,0.45,,,0.38
h_1,1.91,2.19,1.91,1.98,1.55,2.14,1.0,1.01,0.84,1.01,0.7,0.78,,0.61,0.76,0.69
d_0,,2.14,1.66,2.69,1.81,2.15,0.99,1.0,0.96,0.92,1.13,0.85,0.83,0.84,0.6,0.79
c_0,1.82,2.04,2.58,,2.37,1.75,1.19,1.04,1.0,0.97,1.2,0.84,0.76,0.75,0.56,0.75
g_1,3.53,2.55,1.79,2.07,2.04,1.76,0.99,1.09,1.03,1.0,0.9,1.1,0.66,,0.72,
b_0,2.03,2.5,2.28,2.99,,1.67,1.44,0.89,0.84,1.11,1.0,0.99,0.95,0.91,,0.8
f_0,2.42,,2.71,2.48,2.23,,1.27,1.17,1.2,0.91,1.01,1.0,1.1,1.1,1.06,0.6
h_0,2.82,2.73,2.61,2.41,2.41,2.21,,1.2,1.32,1.51,1.05,0.91,,0.96,0.83,1.15
a_0,3.13,3.87,3.08,2.4,2.76,,1.64,1.19,1.34,,1.1,0.91,1.04,1.0,,1.0
e_0,2.86,4.09,,2.7,2.81,,1.31,1.67,1.79,1.39,,0.95,1.21,,1.0,0.79
g_0,4.58,3.09,2.98,2.46,3.69,2.65,1.45,1.26,1.33,,1.25,1.67,0.87,1.0,1.27,
