,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.95,0.66,1.16,0.91,0.72,0.52,0.51,0.55,0.37,0.47,0.43,0.42,0.39,0.36,0.35
d_1,1.05,1.0,1.08,0.82,0.88,0.71,0.49,0.39,0.4,0.52,0.38,0.43,0.34,0.33,0.33,0.23
f_1,1.51,0.92,1.0,0.96,0.73,0.63,0.39,0.48,0.48,0.4,0.3,0.37,0.24,0.26,0.29,0.33
c_1,0.87,1.23,1.05,1.0,1.45,0.72,0.54,0.48,0.34,0.35,0.4,0.36,0.4,0.3,0.33,0.28
b_1,1.08,1.13,1.38,0.7,1.0,1.36,0.57,0.58,0.52,0.58,0.44,0.5,0.43,0.41,0.26,0.39
a_1,1.41,1.41,1.56,1.38,0.74,1.0,0.7,0.62,0.51,0.6,0.56,0.61,0.45,0.46,0.5,0.43
h_1,2.03,2.03,2.42,1.96,1.84,1.44,1.0,1.19,0.86,0.86,0.83,0.75,0.84,0.76,0.68,0.74
g_1,1.98,2.49,2.19,1.96,1.77,1.6,0.83,1.0,0.95,0.87,1.09,0.88,0.61,0.72,0.65,0.7
d_0,1.75,2.71,2.14,2.93,1.9,1.94,1.18,1.09,1.0,0.92,0.85,0.74,0.8,0.75,0.63,0.78
c_0,2.6,1.89,2.53,2.65,1.83,1.68,1.16,1.17,1.11,1.0,0.96,1.26,0.85,0.82,0.83,0.8
f_0,2.08,2.65,3.35,2.48,2.21,1.84,1.22,0.92,1.2,1.05,1.0,0.96,0.99,1.19,0.7,0.69
b_0,2.42,2.3,2.63,2.72,2.02,1.64,1.36,1.14,1.33,0.83,1.08,1.0,0.92,0.78,1.1,0.84
h_0,2.5,2.85,3.93,2.56,2.28,2.18,1.24,1.72,1.18,1.15,1.04,1.14,1.0,0.89,0.8,0.89
e_0,2.51,3.19,3.8,3.17,2.77,1.96,1.35,1.49,1.37,1.24,0.87,1.24,1.15,1.0,0.96,0.8
a_0,2.81,2.95,3.22,3.64,3.96,1.85,1.63,1.56,1.68,1.08,1.42,0.88,1.27,0.97,1.0,0.88
g_0,3.0,4.07,3.13,3.49,2.62,2.21,1.37,1.46,1.34,1.35,1.46,1.25,1.14,1.18,1.01,1.02
