,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.18,8.04,13.5,11.78,10.04,16.22,3.31,3.06,3.4,2.5,3.66,3.04,4.17,2.13,1.55,
f_1,11.39,0.17,13.98,11.83,10.09,16.9,2.6,6.95,2.86,2.8,2.14,,2.11,1.16,3.59,2.9
d_1,13.87,10.71,0.16,20.69,11.84,13.36,4.51,2.61,,2.19,2.81,1.96,2.36,1.6,1.57,
c_1,15.46,13.86,15.7,0.16,12.59,13.59,3.01,3.14,1.35,,2.62,2.1,3.48,1.89,2.39,2.48
b_1,17.15,15.53,12.63,6.89,0.13,11.31,3.15,3.1,2.6,3.35,,3.69,3.29,1.62,1.99,2.06
a_1,17.23,12.88,10.15,17.47,8.85,0.09,,2.8,3.37,2.74,2.38,2.21,,1.92,1.58,
h_1,3.15,3.02,2.9,3.17,4.25,,0.07,0.84,0.58,0.82,0.7,0.7,0.53,,0.71,0.66
g_1,4.2,3.97,3.48,3.14,4.41,3.5,0.73,0.06,0.69,0.58,0.62,0.67,0.85,0.41,,0.79
d_0,1.44,3.13,,2.66,2.6,2.4,0.71,0.9,0.08,0.61,0.54,0.56,0.41,0.37,0.36,0.46
c_0,2.12,2.8,1.26,,4.34,2.15,0.79,0.75,0.87,0.08,0.56,0.9,0.52,0.32,0.28,0.5
b_0,2.23,1.95,2.72,3.53,,3.23,0.72,1.03,0.51,0.33,0.07,0.45,0.61,0.49,0.37,0.43
f_0,3.27,,3.56,3.02,2.03,3.82,0.84,0.37,0.41,0.45,0.52,0.07,0.6,0.84,0.19,0.51
a_0,3.93,2.52,2.93,2.96,3.29,,0.83,0.8,0.58,0.57,0.39,0.73,0.05,0.23,0.29,
h_0,1.89,2.09,1.52,1.36,1.57,1.42,,0.89,0.33,0.34,0.31,0.28,0.61,,0.19,0.22
g_0,2.23,1.86,2.05,1.98,2.7,2.3,0.3,,0.31,0.34,0.29,0.39,0.44,0.14,,0.38
e_0,,4.11,,1.86,2.48,,0.52,0.51,0.61,0.75,0.69,0.26,,0.37,0.42,0.05
