,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.41,2.28,1.32,1.57,1.35,1.2,2.57,2.63,2.71,3.25,3.07,2.19,3.43,3.14,2.56,3.92
e_1,1.31,2.44,1.41,1.89,1.45,1.51,2.87,2.98,2.78,5.13,3.48,3.61,4.49,3.4,2.99,4.17
d_1,1.52,1.41,2.55,1.19,1.47,1.38,2.97,2.97,4.83,2.58,3.53,3.47,4.02,3.79,3.55,4.19
c_1,1.48,1.17,1.6,2.62,2.44,1.39,2.74,2.89,2.24,2.74,2.38,3.12,3.62,3.38,3.17,3.63
b_1,1.5,1.47,1.4,1.2,2.76,2.92,2.9,2.73,3.11,3.01,2.63,3.09,3.81,2.77,3.6,3.78
a_1,1.83,1.43,1.6,1.71,1.09,3.31,3.04,2.89,3.38,3.54,3.73,3.42,4.87,2.53,3.94,3.35
h_1,2.06,1.52,1.57,1.41,1.49,1.49,4.22,3.23,3.22,3.19,3.24,3.08,3.67,3.09,3.31,5.42
g_1,1.46,1.33,1.99,1.52,1.62,1.5,2.91,4.66,3.47,2.53,3.64,4.66,4.32,3.6,3.6,3.85
c_0,1.74,1.59,1.44,1.44,1.3,1.43,3.12,2.94,4.44,4.0,5.47,3.39,4.46,4.19,3.71,4.75
d_0,1.65,1.3,1.19,2.52,1.57,1.46,2.84,3.34,2.2,4.16,3.35,3.23,4.67,3.61,3.78,4.45
b_0,1.79,1.3,1.58,1.84,1.42,1.2,3.15,2.76,3.13,3.0,4.58,3.13,4.57,5.83,4.04,4.59
f_0,1.7,1.23,1.57,1.58,1.56,1.59,3.41,2.88,3.73,3.42,4.0,4.94,4.6,3.96,6.32,4.26
h_0,1.97,1.43,1.6,1.73,1.51,1.19,2.43,3.6,3.21,3.2,3.16,3.43,3.59,3.47,4.02,5.21
a_0,1.7,1.49,1.42,1.72,1.73,1.42,3.46,2.95,3.15,3.34,3.11,3.46,4.67,5.02,4.08,5.1
e_0,2.09,1.39,1.54,1.74,1.27,1.44,3.56,3.16,3.55,3.23,3.48,3.04,4.34,3.7,5.47,4.4
g_0,1.31,1.36,2.03,1.62,1.56,1.71,2.68,2.92,3.55,2.77,3.41,4.73,3.74,3.06,3.88,4.07
