,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.91,1.18,0.97,0.88,0.77,0.57,0.66,0.59,0.65,0.58,0.54,0.53,0.51,0.47,0.5
d_1,1.06,1.0,1.04,0.92,0.9,0.79,0.69,0.57,0.84,0.62,0.74,0.62,0.58,0.61,0.58,0.47
e_1,0.86,0.94,1.0,1.1,0.98,0.86,0.76,0.73,0.64,0.87,0.61,0.7,0.63,0.6,0.64,0.68
c_1,1.02,1.1,0.91,1.0,1.23,0.88,0.69,0.68,0.65,0.52,0.6,0.61,0.63,0.6,0.56,0.64
b_1,1.11,1.16,1.02,0.81,1.0,1.3,0.81,0.71,0.76,0.66,0.64,0.68,0.66,0.59,0.62,0.61
a_1,1.32,1.29,1.16,1.12,0.8,1.0,0.91,0.91,0.72,0.74,0.88,0.74,0.79,0.66,0.73,0.69
h_1,1.73,1.43,1.31,1.44,1.28,1.02,1.0,1.06,0.85,0.89,0.81,0.83,0.91,0.76,0.78,0.89
g_1,1.47,1.75,1.38,1.5,1.47,1.07,0.94,1.0,0.91,0.87,0.89,1.03,0.8,0.95,0.83,0.86
c_0,1.68,1.23,1.62,1.65,1.31,1.37,1.18,1.03,1.0,1.23,1.27,0.91,1.01,1.02,0.88,0.85
d_0,1.54,1.62,1.15,1.97,1.55,1.29,1.07,1.18,0.78,1.0,0.85,1.06,0.97,0.94,0.91,1.01
b_0,1.66,1.38,1.54,1.76,1.59,1.28,1.19,1.13,0.82,1.14,1.0,0.99,0.99,1.31,0.93,0.93
f_0,1.84,1.63,1.46,1.67,1.45,1.35,1.16,0.97,1.04,0.97,1.03,1.0,1.1,0.96,1.21,0.81
h_0,1.88,1.69,1.64,1.61,1.48,1.24,1.1,1.29,0.99,1.06,1.01,0.93,1.0,0.91,0.92,1.08
a_0,1.9,1.59,1.65,1.6,1.72,1.5,1.33,1.15,1.03,1.04,0.82,1.05,1.18,1.0,1.0,1.05
e_0,2.08,1.68,1.49,1.77,1.59,1.4,1.26,1.12,1.08,1.1,1.06,0.82,1.1,0.98,1.0,0.92
g_0,1.95,2.09,1.45,1.58,1.7,1.41,1.1,1.14,1.18,0.96,1.08,1.17,0.94,1.05,1.1,1.0
