,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.25,0.34,0.44,0.26,0.34,0.3,0.77,1.62,0.63,0.73,0.76,0.89,0.9,0.83,0.26,0.79
f_1,0.71,25.4,0.28,0.33,0.26,0.46,0.6,0.69,0.57,0.67,0.94,0.15,0.94,0.61,0.5,0.84
c_1,0.29,0.36,26.01,0.31,0.7,0.29,0.98,0.64,0.73,0.15,0.51,0.86,0.85,0.75,0.71,0.63
d_1,0.28,0.35,0.3,28.78,0.36,0.24,0.59,0.16,0.86,1.84,1.09,0.81,0.88,0.94,0.84,0.97
b_1,0.23,0.28,0.37,0.36,32.5,0.81,0.63,0.73,0.72,0.91,0.2,0.79,0.85,0.58,0.79,1.13
a_1,0.42,0.38,0.24,0.3,0.37,47.89,0.98,0.88,0.63,0.81,0.81,0.54,1.02,0.11,0.88,0.72
h_1,0.55,1.06,0.67,0.54,0.63,0.48,10.45,1.44,1.92,1.05,1.27,1.74,0.43,1.69,1.51,1.75
d_0,0.66,0.59,1.55,0.19,0.66,0.49,1.16,5.73,1.3,1.17,1.58,1.52,1.29,1.41,2.07,1.79
g_1,0.59,0.53,0.53,1.47,0.54,0.46,0.96,0.89,12.31,1.47,1.44,2.49,1.88,0.91,2.2,0.84
c_0,0.55,0.86,0.22,0.87,0.55,0.61,1.56,1.63,1.29,5.38,3.72,2.13,1.71,2.26,1.66,1.86
b_0,0.66,0.79,0.79,0.9,0.11,0.54,1.4,1.56,1.2,1.42,6.58,1.66,1.69,3.79,1.65,1.5
f_0,0.55,0.17,0.75,0.95,0.62,0.62,1.6,1.91,1.59,1.71,1.49,7.2,1.84,1.87,3.92,2.0
h_0,0.64,0.8,0.72,0.81,0.44,0.68,0.41,1.37,1.9,1.39,1.4,1.46,0.49,1.72,1.44,2.3
a_0,0.73,1.03,0.68,0.65,0.46,,1.38,1.42,1.24,2.12,1.65,1.64,1.48,9.3,1.7,1.19
e_0,0.25,0.81,0.84,0.84,0.56,0.86,1.32,1.53,1.81,0.79,1.39,1.36,1.94,1.41,10.59,1.42
g_0,0.54,0.59,0.6,1.3,0.49,0.7,1.23,1.12,,1.1,1.16,3.05,1.39,1.59,1.8,0.69
