,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.44,1.35,2.09,1.57,1.38,1.35,2.63,2.51,3.13,3.4,3.16,2.47,3.89,3.35,3.64,2.57
d_1,1.61,2.51,1.45,1.2,1.47,1.43,3.0,2.8,4.73,2.86,3.8,3.5,3.86,3.67,4.26,3.33
e_1,1.46,1.39,2.51,1.77,1.45,1.39,2.83,3.2,3.12,5.04,3.44,3.6,4.54,3.08,4.04,2.72
c_1,1.44,1.58,1.28,2.67,2.38,1.43,2.63,2.73,2.21,2.56,2.2,2.96,3.63,2.89,3.96,3.34
b_1,1.5,1.5,1.42,1.28,2.76,2.56,2.88,2.8,2.81,3.0,2.59,3.21,3.77,2.6,3.66,3.59
a_1,1.69,1.66,1.57,1.52,1.23,3.13,3.1,3.28,2.99,3.19,3.91,3.23,4.38,2.79,4.22,3.08
h_1,1.93,1.53,1.59,1.58,1.5,1.49,4.15,3.4,3.43,2.99,3.2,3.37,3.47,3.48,4.88,3.39
g_1,1.51,2.09,1.29,1.5,1.62,1.31,2.85,4.57,3.59,2.78,3.59,4.47,4.3,3.38,3.58,4.3
c_0,1.68,1.58,1.42,1.61,1.33,1.53,3.07,3.23,4.36,3.45,5.88,3.7,4.49,4.54,4.07,3.8
d_0,1.48,1.07,1.26,2.68,1.7,1.59,2.97,3.52,2.62,4.34,3.43,3.48,4.2,3.39,4.33,3.9
b_0,1.55,1.69,1.49,1.88,1.11,1.17,3.32,2.99,3.0,3.7,4.77,3.72,4.67,6.61,4.44,3.59
f_0,1.52,1.66,1.42,1.71,1.45,1.67,3.21,2.83,3.23,3.5,3.3,4.72,4.48,3.57,4.09,6.58
h_0,1.76,1.73,1.43,1.67,1.59,1.46,2.57,3.49,3.33,3.46,3.6,3.18,3.61,3.78,5.33,3.57
a_0,1.55,1.52,1.54,1.75,1.6,1.23,3.17,3.21,3.07,3.58,3.02,3.85,4.83,5.36,4.32,4.27
g_0,1.59,1.94,1.43,1.52,1.7,1.46,2.75,2.82,3.8,3.41,3.31,4.57,3.69,3.93,3.85,4.05
e_0,1.62,1.79,1.41,1.63,1.67,1.59,3.33,2.75,3.18,3.13,3.67,2.78,4.23,3.55,4.15,5.45
