,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,23.9,0.72,0.33,0.3,0.32,0.32,0.7,0.62,0.68,0.69,0.7,0.16,0.98,0.82,0.73,0.47
e_1,0.35,24.69,0.31,0.39,0.34,0.38,0.71,0.54,0.81,1.77,0.63,0.87,0.96,0.76,1.0,0.26
d_1,0.44,0.29,25.56,0.28,0.32,0.28,0.72,1.01,1.59,0.19,0.98,0.67,0.88,0.85,0.88,0.8
c_1,0.36,0.31,0.4,29.84,0.68,0.27,0.66,0.52,0.14,0.77,0.63,0.91,0.49,0.57,0.94,0.81
b_1,0.29,0.35,0.34,0.39,31.56,0.62,0.82,0.56,0.78,0.64,0.21,0.76,1.04,0.62,0.7,0.83
a_1,0.4,0.31,0.32,0.32,0.32,45.81,0.74,0.63,0.66,0.69,1.01,1.04,1.11,0.22,0.91,0.98
h_1,0.92,0.48,0.78,0.6,0.47,0.62,9.76,1.68,1.53,1.54,1.63,1.12,0.59,1.29,2.36,1.63
g_1,0.46,0.55,1.04,0.73,0.49,0.53,1.14,11.94,1.66,1.23,1.64,2.39,1.49,1.39,0.77,1.29
c_0,0.67,0.58,0.67,0.28,0.62,0.91,1.4,1.43,5.63,1.63,3.84,1.96,1.57,2.06,1.72,1.45
d_0,0.66,0.59,0.17,1.54,0.63,0.67,1.17,1.66,1.06,4.99,1.39,1.63,1.51,1.18,1.44,1.71
b_0,0.73,0.53,0.63,0.81,0.22,0.69,1.39,1.98,1.6,1.62,6.53,1.87,1.44,3.66,1.81,2.43
f_0,0.15,0.53,0.68,0.75,0.74,0.95,1.85,1.18,1.42,1.8,1.94,6.38,1.76,1.85,1.54,4.66
h_0,0.89,0.52,0.66,0.56,0.63,0.64,0.48,2.31,1.56,1.44,1.51,1.79,0.58,2.13,2.2,1.2
a_0,0.58,0.65,0.88,0.61,0.68,0.21,1.64,2.19,1.46,1.24,1.86,2.03,1.88,9.74,1.59,1.22
g_0,0.53,0.52,1.04,0.67,0.54,0.86,1.54,0.7,1.32,1.44,1.41,2.3,1.5,1.54,0.49,2.36
e_0,0.65,0.14,0.74,0.97,0.6,0.68,1.82,1.49,1.41,1.8,1.67,2.02,2.12,1.86,0.9,9.95
