,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.41,0.6,0.98,0.91,0.9,0.96,0.57,0.49,0.54,0.4,0.45,0.42,0.39,0.39,0.36,0.65
f_1,0.93,0.4,0.92,0.75,0.94,0.88,0.38,0.4,0.46,0.39,0.42,0.34,0.24,0.34,0.37,0.35
c_1,0.7,0.9,0.39,1.07,1.07,0.82,0.44,0.24,0.43,0.5,0.37,0.38,0.4,0.4,0.4,0.36
d_1,1.01,0.97,0.83,0.39,0.88,0.7,0.43,0.71,0.35,0.43,0.37,0.45,0.34,0.39,0.25,0.36
b_1,0.94,0.91,0.56,0.93,0.37,1.01,0.52,0.41,0.55,0.41,0.46,0.62,0.34,0.44,0.29,0.35
a_1,0.95,0.88,0.94,1.05,0.49,0.32,0.51,0.48,0.47,0.49,0.48,0.66,0.37,0.63,0.44,0.64
h_1,0.77,0.93,0.86,0.73,0.74,0.8,0.26,0.35,0.44,0.31,0.3,0.31,0.33,0.32,0.32,0.3
d_0,0.47,0.89,0.98,1.01,0.92,0.74,0.45,0.27,0.45,0.35,0.33,0.3,0.34,0.35,0.31,0.35
g_1,0.75,0.91,0.84,0.8,0.74,0.71,0.34,0.38,0.23,0.34,0.36,0.34,0.24,0.43,0.37,0.32
c_0,0.81,0.79,1.45,0.49,0.82,0.79,0.46,0.53,0.46,0.25,0.35,0.41,0.29,0.43,0.29,0.33
f_0,0.74,1.38,0.8,0.77,0.74,0.69,0.43,0.37,0.3,0.32,0.24,0.35,0.32,0.34,0.21,0.46
b_0,0.82,0.87,0.94,0.64,1.1,0.64,0.44,0.4,0.48,0.21,0.33,0.22,0.29,0.38,0.27,0.33
h_0,0.75,0.92,0.66,0.7,0.74,0.75,0.63,0.36,0.43,0.36,0.32,0.35,0.39,0.36,0.33,0.3
a_0,0.74,0.88,0.82,0.83,0.86,1.04,0.42,0.33,0.37,0.33,0.33,0.21,0.28,0.2,0.3,0.3
g_0,0.78,0.82,0.7,0.74,0.85,0.76,0.37,0.37,0.59,0.33,0.37,0.35,0.22,0.35,0.33,0.32
e_0,0.93,0.98,0.8,0.76,0.83,0.59,0.41,0.33,0.51,0.36,0.19,0.34,0.3,0.32,0.26,0.2
