,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,36.83,0.07,0.06,0.06,0.08,0.05,0.28,0.3,0.78,,0.41,0.34,0.62,0.72,0.24,0.25
e_1,0.04,37.01,0.07,0.07,0.07,0.1,0.24,0.27,0.36,0.66,0.4,0.37,0.57,0.59,0.33,
f_1,0.07,0.12,38.52,0.09,0.06,0.06,0.35,0.13,0.36,0.43,0.34,,0.66,0.38,0.35,0.38
c_1,0.05,0.07,0.07,42.1,0.1,0.07,0.36,0.3,,0.39,0.19,0.27,0.78,0.56,0.52,0.54
b_1,0.07,0.08,0.09,0.06,48.81,0.12,0.3,0.25,0.31,0.42,,0.35,0.62,0.56,,0.34
a_1,0.07,0.08,0.06,0.08,0.07,74.42,0.19,0.23,0.39,0.32,0.33,0.44,0.65,0.55,,
h_1,0.23,0.15,0.29,0.23,0.36,0.21,27.99,2.08,2.11,1.2,1.28,1.28,,3.32,1.38,1.27
g_1,0.48,0.17,0.26,0.22,0.3,0.4,0.94,34.5,1.07,1.2,2.03,2.18,1.3,,1.29,
c_0,0.33,0.36,0.32,,0.27,0.25,1.88,1.35,17.05,1.68,4.35,1.68,3.25,3.09,2.26,2.46
d_0,,0.33,0.42,0.66,0.32,0.34,1.82,1.08,1.39,18.61,1.83,2.1,3.21,3.03,2.18,1.72
b_0,0.33,0.27,0.32,0.44,,0.22,0.98,1.65,1.8,2.79,21.42,2.07,2.76,2.89,4.28,1.3
f_0,0.4,0.39,,0.28,0.3,0.38,1.35,1.21,2.56,1.96,1.91,23.57,3.55,2.45,2.47,3.17
h_0,0.47,0.46,0.78,0.49,0.63,0.46,,4.04,3.04,3.09,3.21,2.13,,6.03,,4.15
g_0,0.8,0.5,0.6,0.44,0.44,0.64,2.54,,3.29,2.54,2.08,6.19,3.65,,,3.19
a_0,0.42,0.32,0.33,0.45,0.42,,1.83,,1.53,1.24,1.49,2.34,3.68,2.47,34.14,
e_0,0.54,,0.27,0.25,0.42,,1.91,1.46,1.71,2.2,,2.29,3.31,2.16,,36.84
