,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,13162.04,2539.87,1377.71,2115.5,2657.73,9611.81,1225267.11,3524872.75,3364294.22,5361857.8,7990017.84,2969288.0,28184003.2,33558437.63,43622295.69,81076256.83
e_1,1612.35,13904.95,1199.64,2979.21,2151.54,9826.93,1393529.35,4581637.62,2730978.99,9584537.75,8005766.46,13769233.67,35086205.32,27057664.29,18620117.93,88521806.5
d_1,1314.58,1355.47,15510.68,1621.33,2481.0,9418.58,1246352.52,9162600.68,3370609.09,1628098.23,11255060.57,16193659.22,39437137.75,35708173.87,58045455.98,78122241.66
c_1,1064.74,1266.89,1201.82,28446.19,5793.87,7534.55,1239516.63,972410.81,3478154.91,4261496.72,8032402.17,13246027.23,35169448.76,38887285.37,48223996.82,98311769.43
b_1,1467.96,1119.57,1865.08,1658.41,31197.66,19626.49,1274606.03,4097101.09,3842109.0,4786458.77,2026486.0,12278678.09,36138070.44,31085294.71,47635812.05,88250166.04
a_1,1317.91,1376.67,1604.12,2655.54,2148.84,166027.22,1459573.4,4314284.95,2863918.98,6196450.19,6431631.97,18340875.33,34058807.49,9236498.19,39731588.14,84422797.8
h_1,3482.02,2384.6,2385.52,4457.11,3398.16,18558.65,8222675.5,6516705.23,7796132.65,6564407.73,15277223.62,20243449.63,20134979.69,76154817.74,80549317.52,155020943.62
c_0,2479.39,2197.45,3167.44,1621.8,4048.59,18786.63,2302709.77,20638174.47,8386217.94,9771466.74,32088204.53,31330294.92,64946119.38,83981447.86,108450171.43,120939081.45
g_1,1789.44,1984.13,4800.65,4241.33,4462.65,13599.28,1527628.91,6978418.16,30262765.64,4936626.43,14451152.11,36034699.8,46178895.84,56928879.67,67433760.44,33839685.29
d_0,2562.41,2609.27,912.29,9218.61,3532.08,15938.27,2427894.37,5878141.11,5306347.95,23662568.93,17055100.49,22734477.1,50340656.46,64820545.68,82768012.81,101913938.04
b_0,2500.88,2530.89,2719.14,5613.24,1732.47,11548.78,2299202.68,9083539.92,7149775.06,7778621.48,48549397.84,27847674.84,65104534.72,165129307.16,123694786.91,120423143.49
f_0,968.81,1674.11,3270.93,5250.46,5090.2,14502.36,2467708.23,9266928.83,6695636.9,7876823.05,18967137.15,83982740.76,74167256.23,105734652.69,236755718.29,160386008.4
h_0,3534.83,2162.92,3060.79,4698.09,3530.88,12971.62,1006608.02,7638999.65,8172942.07,9578395.53,13134301.56,24869383.04,20640283.81,55524248.39,109553924.65,158265605.05
a_0,2443.51,2463.06,2909.15,6142.62,4044.96,,1983891.54,8289171.76,8443758.85,9292473.27,16252754.63,28985694.71,71405479.59,248901803.12,114404862.54,127579503.16
e_0,2187.84,770.12,2708.44,6372.91,4426.56,16934.95,2383899.27,9665999.85,7517564.64,11571759.17,16779276.76,31110190.48,48425932.48,75878150.76,415290177.5,166857316.14
g_0,1614.93,2361.28,3885.09,4728.88,4425.76,15734.7,2392929.2,7751234.72,3841620.5,11110009.37,21607825.66,44264761.38,47243481.08,59654151.16,93627039.29,52204473.17
