,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.64,0.07,0.06,0.07,0.07,0.07,0.3,0.23,0.77,0.42,0.44,0.45,0.55,0.41,,0.44
f_1,0.13,5.66,0.08,0.1,0.07,0.05,0.23,0.23,0.37,0.41,0.37,,0.6,0.49,0.38,0.73
d_1,0.07,0.08,6.29,0.06,0.06,0.08,0.45,0.31,,0.72,0.36,0.34,0.72,0.38,0.3,0.47
c_1,0.08,0.07,0.07,6.61,0.15,0.08,0.22,0.33,0.45,,0.38,0.39,0.63,0.32,0.43,0.62
b_1,0.08,0.07,0.08,0.09,7.19,0.12,0.29,0.36,0.42,0.34,,0.34,0.6,0.41,0.44,0.51
a_1,0.08,0.07,0.08,0.05,0.1,10.53,0.28,0.33,0.41,0.41,0.24,0.7,0.51,,,0.45
h_1,0.26,0.45,0.33,0.39,0.28,0.19,14.71,1.34,1.08,1.26,1.39,1.02,,1.14,2.07,3.2
g_1,0.22,0.27,0.47,0.24,0.28,0.4,0.59,17.14,1.26,1.85,1.69,2.38,2.33,,,
d_0,0.41,0.45,,0.68,0.42,0.34,1.52,0.91,12.16,1.46,1.93,2.17,2.83,1.76,1.97,3.52
c_0,0.42,0.37,0.39,,0.33,0.37,1.78,1.91,2.03,12.25,3.61,2.5,2.51,1.79,1.45,2.49
b_0,0.41,0.36,0.36,0.32,,0.29,1.61,1.69,1.35,1.67,14.81,1.97,3.18,4.35,2.31,3.53
f_0,0.32,,0.43,0.39,0.37,0.37,1.74,1.47,2.39,1.87,3.04,15.16,3.23,,4.46,2.44
h_0,0.52,0.89,0.56,0.61,0.56,0.71,,2.66,3.57,3.05,2.05,3.34,,2.18,1.82,5.07
a_0,0.45,0.36,0.34,0.57,0.27,,1.62,,1.37,2.0,1.81,,4.67,22.16,,3.71
e_0,,0.27,0.49,0.4,0.29,,2.5,1.61,1.25,2.57,1.41,2.45,3.47,,24.15,
g_0,0.65,0.69,0.97,0.38,0.7,0.64,2.19,,2.31,3.08,2.04,2.59,4.2,2.88,2.62,
