,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.42,2.36,1.65,1.53,1.52,1.47,2.94,3.71,3.24,3.14,3.39,2.85,4.01,2.95,3.54,4.88
e_1,1.54,2.43,2.17,1.52,1.66,1.52,3.16,5.26,3.44,3.19,3.88,4.02,4.84,3.68,4.07,4.39
c_1,1.61,1.35,2.61,1.67,2.71,2.01,3.31,2.95,2.79,3.13,2.56,3.61,4.5,4.17,3.19,4.29
d_1,1.95,1.72,1.47,2.66,1.54,1.47,3.32,3.15,5.35,3.0,4.25,3.44,4.81,3.65,4.01,4.31
b_1,1.65,1.53,1.43,1.76,2.77,2.91,3.28,3.24,3.59,3.31,3.07,3.72,4.22,3.93,2.88,4.59
a_1,1.79,1.57,1.65,1.8,1.37,3.26,3.72,3.77,3.87,3.68,4.26,4.23,4.67,4.02,3.53,4.71
h_1,2.03,1.72,1.71,1.92,1.69,1.35,4.43,3.36,3.42,4.15,3.74,3.86,4.06,4.38,4.5,5.5
d_0,1.57,1.51,2.56,1.55,2.09,1.54,3.45,4.27,3.16,3.43,3.61,3.98,4.6,4.47,3.95,5.09
c_0,1.85,1.73,1.81,1.7,1.48,1.68,3.8,3.91,4.62,3.81,6.08,3.78,4.78,4.22,4.88,5.26
g_1,1.69,1.69,1.77,2.24,1.53,1.52,3.0,3.3,3.62,4.94,3.58,4.86,4.09,4.6,4.28,4.16
b_0,1.98,1.77,2.02,1.67,1.45,1.18,3.48,3.82,3.13,3.72,4.93,3.51,5.35,4.08,7.13,5.24
f_0,1.73,1.44,1.93,2.0,1.73,1.63,3.42,3.66,3.86,3.24,3.99,5.02,4.49,6.9,4.53,4.7
h_0,2.03,1.64,1.74,1.83,1.59,1.65,3.0,3.59,3.57,4.09,3.85,3.6,4.39,3.67,3.9,5.9
e_0,1.9,1.47,1.79,1.98,1.81,1.71,3.28,3.16,3.8,3.35,3.58,3.52,4.56,5.62,4.39,5.46
a_0,1.92,1.66,1.94,1.7,2.04,1.22,3.47,4.24,3.62,3.21,3.41,3.63,5.29,4.65,5.82,5.12
g_0,1.65,1.59,1.7,2.4,1.63,1.55,3.18,3.15,4.04,3.2,3.8,4.82,4.28,4.44,4.24,4.27
