,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.67,0.39,0.34,0.32,0.21,0.32,0.24,0.31,0.37,0.27,0.22,0.36,0.24,0.27,0.13
e_1,0.44,0.92,0.37,0.46,0.33,0.24,0.34,0.28,0.33,0.59,0.33,0.31,0.35,0.23,0.29,0.17
d_1,0.48,0.4,0.92,0.28,0.32,0.27,0.36,0.35,0.62,0.28,0.39,0.3,0.38,0.22,0.33,0.21
c_1,0.4,0.35,0.41,0.92,0.57,0.24,0.34,0.27,0.24,0.31,0.21,0.31,0.31,0.17,0.29,0.21
b_1,0.41,0.39,0.41,0.36,0.91,0.45,0.37,0.3,0.35,0.35,0.24,0.28,0.4,0.19,0.29,0.21
a_1,0.49,0.4,0.43,0.39,0.35,0.89,0.39,0.32,0.33,0.35,0.36,0.31,0.35,0.17,0.32,0.26
h_1,0.54,0.38,0.52,0.38,0.29,0.24,0.65,0.4,0.37,0.33,0.4,0.33,0.3,0.27,0.43,0.26
g_1,0.43,0.4,0.62,0.36,0.35,0.25,0.35,0.64,0.43,0.28,0.38,0.45,0.36,0.26,0.28,0.23
c_0,0.48,0.43,0.49,0.34,0.31,0.28,0.39,0.36,0.58,0.37,0.62,0.39,0.42,0.32,0.41,0.25
d_0,0.45,0.43,0.35,0.68,0.41,0.24,0.33,0.33,0.25,0.51,0.33,0.3,0.32,0.21,0.31,0.24
b_0,0.48,0.41,0.48,0.41,0.33,0.22,0.43,0.4,0.42,0.36,0.56,0.4,0.43,0.51,0.39,0.26
f_0,0.42,0.36,0.47,0.43,0.36,0.31,0.45,0.37,0.43,0.35,0.37,0.54,0.4,0.28,0.37,0.48
h_0,0.58,0.45,0.45,0.36,0.35,0.26,0.31,0.42,0.37,0.34,0.33,0.34,0.29,0.29,0.42,0.18
a_0,0.5,0.39,0.51,0.4,0.37,0.2,0.45,0.41,0.42,0.37,0.39,0.31,0.44,0.49,0.37,0.25
g_0,0.44,0.37,0.63,0.38,0.34,0.27,0.42,0.31,0.4,0.31,0.37,0.46,0.37,0.26,0.27,0.29
e_0,0.49,0.31,0.49,0.41,0.36,0.28,0.45,0.39,0.41,0.3,0.36,0.41,0.41,0.28,0.36,0.48
