,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.17,1.94,1.62,1.67,1.59,1.62,0.45,1.39,0.32,0.35,0.33,0.32,0.17,0.36,0.27,0.16
e_1,1.58,0.17,0.94,1.52,1.98,1.66,0.64,0.33,0.58,0.39,0.45,0.38,0.28,0.3,2.43,0.32
f_1,1.62,1.77,0.16,1.6,1.86,2.56,0.28,0.37,0.57,0.27,1.15,0.3,0.15,0.29,0.27,0.24
c_1,2.15,1.35,1.61,0.16,1.52,1.82,0.44,0.18,0.53,1.96,0.28,0.34,0.28,0.35,0.35,0.33
b_1,1.8,1.88,2.31,0.9,0.13,1.38,0.51,0.28,0.44,0.47,0.28,1.62,0.26,0.44,0.35,0.26
a_1,1.39,1.65,1.73,2.07,0.85,0.1,0.68,0.32,0.54,0.42,0.38,0.45,0.36,1.7,0.45,0.28
h_1,0.85,0.97,0.94,1.12,0.83,0.82,0.06,0.21,0.38,0.17,0.2,0.2,0.56,0.17,0.17,0.14
d_0,3.75,0.48,1.08,1.06,1.1,0.78,0.28,0.08,0.25,0.18,0.16,0.19,0.14,0.15,0.15,0.17
g_1,0.96,0.87,0.82,1.05,1.07,0.82,0.2,0.28,0.05,0.21,0.16,0.19,0.12,0.35,0.2,0.25
c_0,0.47,1.04,0.9,3.53,1.0,0.7,0.3,0.27,0.28,0.07,0.22,0.22,0.18,0.19,0.22,0.15
f_0,0.78,0.99,3.21,0.93,1.03,0.83,0.28,0.18,0.18,0.18,0.06,0.16,0.15,0.13,0.14,0.07
b_0,0.87,0.77,0.89,1.36,3.51,0.9,0.27,0.22,0.2,0.09,0.16,0.06,0.13,0.2,0.17,0.1
h_0,0.9,0.88,1.14,0.8,1.11,0.86,0.59,0.2,0.26,0.16,0.15,0.15,0.31,0.18,0.15,0.11
a_0,0.73,0.82,0.99,1.04,1.21,,0.29,0.22,0.25,0.17,0.19,0.09,0.15,0.05,0.17,0.12
e_0,0.75,1.87,1.34,1.19,0.89,0.63,0.26,0.21,0.17,0.17,0.08,0.18,0.12,0.13,0.05,0.14
g_0,0.87,0.96,1.36,0.81,0.79,0.93,0.24,0.21,0.95,0.14,0.18,0.19,0.11,0.19,0.16,0.24
