,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.29,0.52,0.44,0.51,0.49,0.14,0.1,0.09,0.08,0.14,0.13,0.07,0.09,0.16,0.09
f_1,0.42,0.18,0.46,0.42,0.44,0.38,0.09,0.11,0.09,0.09,0.13,0.12,0.05,0.09,0.08,0.08
c_1,0.35,0.47,0.15,0.66,0.43,0.39,0.12,0.05,0.15,0.1,0.13,0.09,0.06,0.09,0.1,0.06
d_1,0.57,0.44,0.43,0.14,0.44,0.45,0.12,0.17,0.08,0.1,0.08,0.08,0.06,0.08,0.07,0.04
b_1,0.44,0.48,0.26,0.5,0.13,0.51,0.14,0.1,0.12,0.2,0.14,0.12,0.07,0.11,0.09,0.06
a_1,0.47,0.59,0.45,0.45,0.22,0.09,0.14,0.11,0.11,0.15,0.13,0.09,0.07,0.17,0.1,0.08
h_1,0.38,0.44,0.38,0.37,0.39,0.33,0.06,0.09,0.08,0.08,0.1,0.08,0.07,0.07,0.07,0.06
d_0,0.25,0.4,0.43,0.63,0.38,0.39,0.14,0.06,0.09,0.09,0.15,0.08,0.07,0.08,0.1,0.07
c_0,0.46,0.45,0.7,0.21,0.44,0.3,0.11,0.12,0.05,0.07,0.11,0.08,0.06,0.08,0.07,0.05
b_0,0.37,0.43,0.64,0.31,0.57,0.35,0.11,0.09,0.05,0.04,0.1,0.07,0.06,0.07,0.07,0.06
g_1,0.42,0.47,0.46,0.35,0.45,0.36,0.08,0.09,0.07,0.08,0.04,0.07,0.04,0.07,0.06,0.07
f_0,0.37,0.64,0.46,0.34,0.4,0.34,0.1,0.09,0.07,0.08,0.07,0.04,0.05,0.07,0.07,0.03
h_0,0.39,0.44,0.39,0.35,0.38,0.28,0.16,0.09,0.07,0.08,0.11,0.08,0.07,0.09,0.06,0.05
a_0,0.37,0.38,0.49,0.34,0.49,0.45,0.13,0.1,0.07,0.04,0.1,0.09,0.06,0.04,0.07,0.06
e_0,0.51,0.46,0.39,0.35,0.35,0.35,0.11,0.09,0.09,0.09,0.1,0.04,0.06,0.08,0.03,0.05
g_0,0.4,0.43,0.41,0.36,0.44,0.33,0.09,0.08,0.08,0.07,0.13,0.07,0.04,0.08,0.07,0.07
