,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.04,1.14,1.53,1.54,1.46,1.22,0.59,0.59,0.45,0.54,0.45,0.53,0.42,0.36,0.47,0.37
f_1,1.64,1.04,1.47,1.51,1.32,1.22,0.45,0.56,0.42,0.46,0.42,0.4,0.39,0.27,0.28,0.32
d_1,1.64,1.67,1.04,1.34,1.43,1.21,0.54,0.46,0.49,0.53,0.44,0.42,0.37,0.31,0.41,0.24
c_1,1.53,1.78,2.12,1.05,1.85,1.36,0.72,0.57,0.57,0.34,0.49,0.49,0.44,0.36,0.48,0.38
b_1,1.81,2.04,1.84,1.27,1.06,1.95,0.96,0.79,0.63,0.58,0.65,0.55,0.5,0.42,0.51,0.4
a_1,2.65,2.64,2.65,2.3,1.43,1.06,1.08,1.02,0.87,0.86,0.87,0.73,0.8,0.7,0.61,0.57
h_1,4.12,4.62,4.1,4.01,3.17,2.97,1.22,1.58,1.22,1.29,1.06,1.05,0.97,0.97,0.96,0.86
g_1,4.63,4.76,4.69,4.82,4.16,3.3,1.49,1.24,1.41,1.35,1.28,1.29,1.13,0.89,1.19,1.06
c_0,5.81,6.05,3.85,6.65,5.04,3.83,2.01,1.85,1.31,2.14,1.7,1.41,1.35,1.18,1.45,1.03
d_0,3.89,5.24,6.1,6.49,5.37,4.33,2.25,1.9,1.68,1.36,1.58,1.49,1.56,1.22,1.66,1.32
b_0,5.58,6.14,5.45,6.37,6.35,4.21,2.31,2.04,1.2,1.78,1.35,1.38,1.66,1.34,1.41,1.09
f_0,5.83,7.33,6.48,5.99,5.47,5.18,2.37,1.85,1.74,1.9,1.96,1.4,1.61,1.48,2.19,1.03
a_0,7.07,7.51,6.73,7.33,8.08,6.07,2.98,2.68,2.01,2.16,1.33,1.85,1.47,1.47,1.7,1.18
h_0,7.26,8.46,7.69,7.57,6.94,5.44,3.2,2.78,2.17,2.23,1.92,1.86,1.76,1.94,1.7,1.62
e_0,9.16,11.48,7.51,7.86,7.84,6.78,3.28,2.58,2.32,2.43,2.39,1.23,2.15,1.73,1.4,1.52
g_0,9.1,9.59,9.03,8.12,8.29,6.95,2.97,3.53,2.68,2.56,2.54,2.43,2.59,1.72,2.2,1.83
