,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,3.75,0.45,0.37,0.45,0.41,0.34,0.9,0.68,1.41,0.58,0.87,0.71,0.82,0.71,0.67,0.32
f_1,0.73,3.86,0.33,0.36,0.33,0.38,0.72,0.77,0.86,0.99,0.86,0.21,0.78,0.69,0.58,0.78
d_1,0.39,0.41,4.24,0.31,0.42,0.29,0.68,0.7,0.25,1.64,0.9,0.86,0.95,0.9,0.95,0.8
c_1,0.38,0.37,0.45,4.32,0.67,0.38,0.8,0.74,0.71,0.22,0.47,0.72,0.97,0.84,0.91,0.73
b_1,0.34,0.42,0.4,0.43,4.72,0.7,0.55,0.6,0.81,0.92,0.28,0.9,1.12,0.91,0.68,0.86
a_1,0.4,0.4,0.32,0.42,0.45,7.02,0.8,0.77,0.81,0.55,0.88,0.82,0.83,0.92,0.26,0.69
h_1,0.56,0.89,0.77,0.64,0.71,0.58,4.85,1.39,1.22,1.18,1.67,1.78,0.5,1.89,1.7,1.76
g_1,0.57,0.66,1.07,0.77,0.49,0.56,1.28,6.18,1.03,1.09,1.22,2.44,1.35,0.61,1.57,1.63
d_0,0.7,0.76,0.22,1.25,0.8,0.65,1.22,1.38,3.63,1.0,1.27,1.83,1.64,1.49,1.42,1.67
c_0,0.8,0.68,0.87,0.32,0.42,0.74,1.6,1.8,1.54,4.13,3.17,1.91,1.34,2.11,1.79,1.14
b_0,0.65,0.75,0.79,0.97,0.24,0.62,1.72,1.28,1.55,1.03,4.64,1.38,1.62,1.88,2.91,1.7
f_0,0.6,0.34,0.83,0.78,0.69,0.72,1.22,1.57,1.36,1.5,1.6,4.68,1.77,2.2,1.74,3.79
h_0,0.59,1.13,0.67,0.68,0.62,0.73,0.56,1.53,1.45,1.22,1.32,1.22,0.53,1.92,1.7,1.45
g_0,0.53,0.62,1.33,0.65,0.7,0.65,1.27,0.44,1.03,0.97,1.6,2.02,1.43,0.72,1.23,1.27
a_0,0.72,0.73,0.74,0.87,0.59,0.49,1.36,1.32,1.43,1.95,1.86,1.59,2.07,1.9,6.33,1.28
e_0,0.27,0.72,0.73,0.94,0.76,0.86,1.51,1.42,1.36,1.69,1.65,1.94,1.62,1.74,1.59,7.0
