,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.34,1.71,0.98,1.0,0.85,0.65,1.78,1.77,2.27,1.89,1.43,2.01,2.65,1.78,1.35,2.22
e_1,1.11,2.35,0.86,1.3,1.08,0.79,1.8,1.78,3.66,1.92,2.21,1.95,2.69,1.96,1.5,2.34
d_1,1.15,1.01,2.41,0.86,0.91,0.71,1.89,1.98,1.61,3.85,2.26,2.7,2.85,2.19,2.13,2.61
c_1,1.06,1.02,1.03,2.53,1.72,0.81,1.87,1.72,1.93,1.24,2.15,1.33,2.27,1.67,1.91,2.03
b_1,1.16,1.06,0.99,0.93,2.7,1.62,2.05,1.8,2.04,1.67,1.84,1.35,2.77,1.37,1.82,2.21
a_1,1.23,1.14,1.17,0.94,0.87,3.2,2.17,2.16,1.74,2.2,2.15,2.28,2.9,1.13,1.74,2.31
h_1,1.54,1.1,1.22,1.11,1.03,0.87,3.56,2.43,2.22,1.71,1.86,1.73,2.01,1.62,1.81,3.19
g_1,1.14,1.07,1.57,1.15,0.94,0.81,2.09,3.61,1.85,2.27,2.83,1.97,2.55,2.09,2.04,2.16
d_0,1.11,1.1,0.76,1.9,1.24,1.04,1.99,1.94,3.33,1.4,2.27,1.77,2.44,1.92,1.81,2.33
c_0,1.29,1.15,1.37,1.02,0.79,0.75,2.12,2.04,2.19,3.52,2.11,3.98,3.03,2.66,2.24,2.81
f_0,1.02,0.95,1.34,1.15,1.18,0.88,2.36,2.03,2.29,2.57,3.53,2.03,2.86,1.73,4.2,2.98
b_0,1.38,0.95,1.34,1.32,0.78,0.69,2.08,1.98,2.36,2.21,2.17,3.56,3.28,3.8,2.32,3.03
h_0,1.52,1.18,1.18,1.08,0.93,0.76,1.63,2.65,2.16,2.15,2.12,2.29,2.3,2.39,1.82,3.13
a_0,1.25,1.02,1.37,1.19,1.19,0.62,2.43,1.87,2.18,2.31,2.16,1.96,3.0,3.77,2.22,2.76
e_0,1.33,0.92,1.28,1.18,1.03,0.99,2.37,2.07,2.24,2.29,2.32,2.32,3.54,2.09,3.6,2.26
g_0,1.07,1.0,1.6,1.02,1.14,0.76,1.87,1.72,1.82,2.63,3.27,2.32,2.89,2.09,2.5,2.25
