,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.52,1.41,1.06,0.89,0.88,0.75,1.05,1.26,0.98,1.04,1.04,0.85,1.12,0.8,1.01,1.02
e_1,1.06,1.52,1.18,0.81,0.93,0.81,1.19,1.81,1.2,1.13,1.15,1.24,1.32,0.91,1.03,1.16
c_1,1.05,0.96,1.56,1.1,1.44,0.92,1.13,0.99,1.06,0.81,0.88,1.02,1.05,0.96,0.88,1.11
d_1,1.16,1.14,0.87,1.62,0.9,0.75,1.3,1.05,0.99,1.84,1.35,1.14,1.31,1.07,1.18,1.11
b_1,1.09,1.04,0.93,1.04,1.62,1.5,1.15,1.16,0.98,1.31,0.97,1.12,1.31,1.09,0.81,1.2
a_1,1.27,1.12,1.07,1.11,0.88,1.75,1.34,1.35,1.2,1.2,1.44,1.25,1.61,1.18,1.04,1.43
h_1,1.52,1.26,1.31,1.17,1.2,0.97,1.86,1.37,1.54,1.38,1.28,1.39,1.25,1.35,1.21,1.6
d_0,1.39,1.13,1.94,1.06,1.34,0.96,1.56,1.8,1.5,1.14,1.3,1.23,1.6,1.46,1.29,1.45
g_1,1.35,1.1,1.29,1.73,1.32,1.03,1.42,1.29,1.95,1.51,1.36,1.83,1.46,1.5,1.18,1.3
c_0,1.58,1.43,1.37,1.16,1.0,1.15,1.54,1.7,1.46,1.83,2.37,1.57,1.61,1.28,1.69,1.48
b_0,1.59,1.45,1.53,1.21,1.16,0.88,1.65,1.67,1.52,1.33,1.88,1.43,1.59,1.38,2.22,1.53
f_0,1.34,1.11,1.6,1.37,1.31,1.17,1.57,1.68,1.41,1.47,1.53,1.91,1.72,2.25,1.16,1.44
h_0,1.74,1.45,1.57,1.29,1.4,0.99,1.52,1.53,1.72,1.52,1.57,1.4,1.42,1.46,1.15,1.83
e_0,1.66,1.2,1.66,1.3,1.43,1.25,1.76,1.4,1.45,1.55,1.47,1.34,1.68,1.95,1.39,1.65
a_0,1.65,1.46,1.56,1.24,1.43,1.02,1.74,1.74,1.76,1.39,1.39,1.56,1.95,1.5,1.95,1.65
g_0,1.39,1.36,1.54,1.69,1.41,1.14,1.62,1.62,1.48,1.66,1.57,2.05,1.57,1.66,1.33,1.54
