,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.72,0.95,1.19,1.06,1.01,1.13,1.37,0.94,1.02,1.0,1.15,1.05,0.9,1.06,1.1
f_1,1.38,1.0,0.99,0.94,0.98,0.74,0.86,0.92,1.01,0.91,1.0,0.83,0.96,0.98,1.06,0.76
d_1,1.05,1.01,1.0,0.96,0.97,0.95,1.03,1.03,0.94,1.42,0.96,1.06,0.93,1.03,0.8,0.9
c_1,0.84,1.07,1.04,1.0,1.47,0.77,1.12,0.76,0.97,1.01,1.02,0.83,1.05,0.99,1.02,0.77
b_1,0.94,1.02,1.04,0.68,1.0,1.54,1.09,1.14,0.95,1.26,1.1,1.12,0.89,1.07,0.85,1.37
a_1,0.99,1.35,1.05,1.3,0.65,1.0,0.89,1.02,1.34,0.94,0.83,0.94,1.06,0.74,1.1,0.91
h_1,0.87,1.18,0.97,0.91,0.89,1.09,1.0,0.92,1.18,0.88,1.0,0.88,0.95,0.96,1.31,1.36
d_0,0.75,1.08,1.0,1.33,0.92,0.97,1.14,1.0,0.95,0.92,0.99,1.02,1.14,1.06,1.09,1.1
g_1,1.06,0.96,1.05,1.03,1.01,0.79,0.85,1.03,1.0,0.95,1.02,1.07,0.86,0.95,1.0,1.09
c_0,0.98,1.1,0.75,1.03,0.85,1.14,1.17,1.0,1.03,1.0,1.42,1.22,1.21,1.02,1.39,1.15
b_0,0.97,0.94,1.09,0.98,0.94,1.14,0.99,1.07,0.97,0.69,1.0,0.98,0.98,1.19,1.05,1.02
f_0,0.85,1.21,0.98,1.22,0.92,1.04,1.04,0.99,0.94,0.83,1.04,1.0,1.03,1.11,0.85,1.28
h_0,0.94,1.06,1.07,0.98,1.1,0.9,1.05,0.87,1.18,0.82,1.06,0.95,1.0,0.84,1.09,1.0
a_0,1.02,1.17,0.95,0.98,0.91,,1.05,0.92,1.08,0.9,0.84,0.9,1.21,1.0,1.08,1.08
g_0,0.87,0.92,1.26,0.99,1.16,0.89,0.76,0.9,1.03,0.7,0.91,1.17,0.91,0.93,1.0,1.13
e_0,0.82,1.28,1.13,1.27,0.78,1.06,0.72,0.84,0.93,0.86,0.92,0.75,0.95,0.98,0.87,1.0
