,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.47,15.95,26.01,33.87,39.94,48.41,7.9,5.38,5.97,4.39,11.28,9.73,5.0,8.62,,6.18
f_1,27.97,0.46,30.67,32.9,28.6,30.9,5.77,7.89,4.88,6.24,9.65,,3.63,7.37,4.88,5.88
c_1,33.12,30.22,0.43,89.47,32.43,39.93,8.59,3.26,,7.09,11.09,7.46,3.54,6.86,8.51,3.88
d_1,41.26,39.89,32.66,0.42,28.54,43.24,8.77,,5.6,7.37,6.05,8.7,3.97,6.03,6.9,3.41
b_1,28.81,38.78,19.03,34.11,0.39,50.27,11.89,8.59,8.26,,11.43,10.41,7.94,7.27,7.28,4.06
a_1,50.13,42.21,50.0,36.67,23.8,0.33,12.64,11.77,15.62,,10.97,7.64,4.49,,7.92,7.59
h_1,19.81,20.88,14.29,15.38,15.87,17.59,0.37,3.81,3.58,3.47,4.01,4.0,,4.15,3.17,2.27
d_0,8.36,15.48,16.95,,10.82,11.38,4.06,0.51,3.06,3.03,4.33,2.32,2.2,2.64,,2.4
c_0,22.13,16.67,,10.52,20.06,13.89,5.11,2.88,0.48,3.02,4.01,2.61,1.71,3.4,2.41,1.71
b_0,15.81,23.6,32.69,12.28,,,5.59,3.33,2.4,0.42,3.87,2.79,2.07,2.96,,3.14
g_1,26.89,26.76,24.32,22.53,36.56,23.21,5.55,4.27,5.17,4.64,0.29,3.7,2.4,,3.77,
f_0,18.58,,21.1,17.2,18.27,15.64,4.12,4.66,3.65,4.17,3.67,0.41,2.89,2.96,2.96,1.54
h_0,12.53,14.67,13.49,11.11,16.22,8.52,,2.76,2.3,2.63,3.81,2.04,,3.09,1.95,1.59
a_0,17.63,16.94,32.71,21.88,25.1,,6.36,4.48,3.49,2.49,,3.63,2.79,0.38,3.84,2.91
e_0,,21.71,15.31,16.65,26.29,16.91,4.95,,4.15,,5.64,2.36,3.06,3.95,0.36,3.3
g_0,21.49,14.97,12.96,12.42,13.98,20.24,2.91,2.64,3.2,2.82,,3.13,1.64,2.97,3.83,
