,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.18,0.03,0.02,0.02,0.03,0.02,0.07,0.13,0.05,,0.06,0.05,0.08,0.05,0.06,0.05
f_1,0.03,2.25,0.05,0.02,0.03,0.02,0.06,0.06,0.04,0.08,0.07,,0.08,0.04,0.04,0.05
e_1,0.04,0.03,2.29,0.02,0.03,0.02,0.05,0.06,0.03,0.11,0.06,0.06,0.08,0.04,0.06,
c_1,0.03,0.03,0.03,2.48,0.05,0.02,0.04,,0.05,0.07,0.04,0.04,0.1,0.04,0.08,0.06
b_1,0.03,0.03,0.03,0.02,2.59,,0.06,0.07,0.04,0.06,,0.07,0.09,0.04,0.07,0.03
a_1,0.03,0.04,0.02,0.03,,3.05,0.05,0.07,0.05,0.05,0.09,0.06,0.08,,0.08,
h_1,0.1,0.13,0.11,0.13,0.07,0.06,2.66,0.27,0.26,0.24,0.19,0.18,,0.21,0.36,0.13
c_0,0.13,0.12,0.13,,0.12,0.09,0.31,1.94,0.21,0.36,0.54,0.29,0.37,0.31,0.41,0.22
g_1,0.17,0.07,0.1,0.12,0.08,0.08,0.21,0.22,2.94,0.11,0.23,0.38,0.32,0.19,,0.16
d_0,,0.15,0.19,0.25,0.16,0.1,0.27,0.3,0.25,2.09,0.33,0.25,0.41,0.14,0.21,0.17
b_0,0.11,0.17,0.15,0.15,,0.1,0.28,0.29,0.28,0.18,2.09,0.31,0.42,0.48,0.39,0.24
f_0,0.16,,0.1,0.14,0.11,0.09,0.24,0.4,0.32,0.4,0.22,2.17,0.3,0.19,0.44,0.59
h_0,0.25,0.31,0.24,0.15,0.15,0.13,,0.34,0.37,0.5,0.44,0.42,,0.46,0.87,0.36
a_0,0.15,0.13,0.1,0.09,0.15,,0.37,0.29,0.2,0.25,0.17,0.27,0.58,2.51,0.51,0.3
g_0,0.37,0.23,0.15,0.22,0.16,0.13,0.33,0.49,,0.44,0.41,0.6,0.59,0.28,,0.4
e_0,0.15,0.18,,0.09,0.16,,0.39,0.29,0.35,0.33,0.33,0.27,0.38,0.27,0.28,2.45
