,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.97,1.32,0.7,0.79,0.58,0.66,0.87,0.91,0.85,0.96,0.97,0.58,1.01,0.61,0.87,0.83
e_1,0.81,2.06,0.69,0.96,0.67,0.63,0.97,0.96,0.79,1.74,1.05,1.11,1.02,0.73,0.99,0.98
d_1,0.78,0.67,2.18,0.58,0.78,0.73,0.92,0.92,1.77,0.53,1.09,1.05,0.96,1.16,0.94,0.96
c_1,0.76,0.68,0.7,2.4,1.34,0.76,0.92,0.96,0.45,0.91,0.7,0.89,0.87,0.81,0.83,0.93
b_1,0.86,0.65,0.8,0.68,2.46,1.27,0.93,0.85,0.92,0.85,0.65,1.04,1.0,0.91,0.81,0.91
a_1,0.88,0.62,0.83,0.78,0.78,3.76,1.14,0.76,1.07,0.81,1.02,0.79,0.96,1.26,0.73,0.98
h_1,1.08,0.78,0.88,0.82,0.86,0.73,2.01,1.24,0.82,0.82,0.92,1.05,0.75,0.99,1.22,1.53
g_1,0.72,0.7,1.24,0.76,0.81,0.74,1.05,2.37,1.01,0.87,1.06,1.68,1.02,1.12,1.05,0.91
c_0,0.85,0.91,0.9,0.69,0.58,0.79,1.09,1.18,1.63,1.13,2.11,1.23,1.2,1.25,1.47,1.19
d_0,0.8,0.84,0.62,1.64,0.81,0.66,1.02,0.96,0.61,1.65,0.98,0.97,1.08,1.16,0.96,1.23
b_0,0.87,0.81,0.92,0.88,0.63,0.65,1.1,1.2,1.01,1.09,1.77,1.16,1.26,1.35,2.38,1.25
f_0,0.54,0.64,1.1,0.95,0.9,0.82,1.01,1.16,1.17,1.05,1.17,1.93,1.25,2.39,1.32,1.27
h_0,1.02,0.92,0.97,0.95,0.62,0.73,0.79,1.49,1.06,1.01,1.06,0.98,0.74,0.95,1.1,1.38
e_0,1.02,0.64,0.96,0.77,0.79,0.92,1.21,1.11,1.09,0.84,1.16,0.87,1.26,2.52,1.27,1.34
a_0,0.84,0.8,0.99,0.83,0.69,0.53,1.09,1.13,1.17,0.95,1.15,1.27,1.32,1.22,2.38,1.43
g_0,0.64,0.76,1.33,0.93,0.71,0.72,0.95,0.97,1.1,0.86,1.19,1.71,1.17,1.43,1.25,0.84
