,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.46,0.27,0.19,0.17,0.12,0.14,0.21,0.14,0.21,0.18,0.19,,0.19,0.16,0.11,0.18
e_1,0.17,1.48,0.13,0.17,0.16,0.13,0.18,0.14,0.19,0.33,0.18,0.18,0.24,0.19,,0.2
d_1,0.15,0.2,1.53,0.16,0.15,0.17,0.23,0.17,0.31,,0.17,0.2,0.19,0.17,0.15,0.21
c_1,0.18,0.17,0.16,1.55,0.25,0.14,0.21,0.18,,0.19,0.2,0.18,0.24,0.14,0.2,0.18
b_1,0.22,0.19,0.17,0.17,1.59,0.18,0.19,0.19,0.22,0.18,,0.23,0.2,0.15,,0.19
a_1,0.16,0.15,0.15,0.15,0.19,1.76,0.27,0.23,0.26,0.29,0.22,0.18,0.22,,,0.24
h_1,0.48,0.38,0.34,0.31,0.4,0.26,1.66,0.69,0.43,0.42,0.52,0.39,,0.45,0.34,0.59
g_1,0.38,0.38,0.52,0.37,0.41,0.29,0.31,1.74,0.66,0.41,0.55,0.7,0.39,0.41,0.3,
c_0,0.54,0.51,0.42,,0.36,0.29,0.6,0.44,1.44,0.59,0.81,0.65,0.53,0.37,0.42,0.64
d_0,0.55,0.42,,0.75,0.5,0.3,0.62,0.42,0.44,1.42,0.47,0.41,0.79,0.43,0.42,0.57
b_0,0.51,0.57,0.56,0.37,,0.28,0.54,0.53,0.48,0.62,1.49,0.53,0.63,0.77,0.45,0.41
f_0,,0.48,0.44,0.4,0.38,0.55,0.58,0.39,0.48,0.6,0.58,1.56,0.8,,0.94,0.56
h_0,0.9,0.61,0.75,0.55,0.63,0.57,,0.71,0.73,0.52,0.68,0.47,,0.57,0.66,0.6
a_0,0.56,0.42,0.52,0.68,0.4,,0.53,0.42,0.75,0.7,0.38,,0.75,1.62,,0.62
e_0,0.65,,0.57,0.36,,,0.63,0.9,0.54,0.79,0.46,0.45,0.55,,1.7,
g_0,0.53,0.56,0.83,0.75,0.6,0.44,0.57,,0.63,0.72,0.86,0.73,0.86,0.55,,
