,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,6.05,3.67,2.08,2.31,2.09,1.74,7.32,7.4,10.24,8.06,10.82,6.13,10.37,14.06,14.77,7.72
e_1,2.37,6.05,1.97,2.62,1.95,2.18,10.15,8.03,17.94,10.96,12.86,12.29,12.64,16.13,16.84,8.89
d_1,2.36,2.13,6.38,1.86,2.04,2.46,8.15,8.43,5.88,19.32,14.55,13.28,11.45,16.49,16.92,13.18
c_1,2.23,2.13,2.15,6.74,4.11,2.18,6.91,6.66,9.58,5.68,7.05,9.65,10.56,15.13,14.42,10.11
b_1,2.12,2.01,2.33,2.27,7.81,4.6,7.58,7.91,10.02,8.44,5.41,10.8,7.43,15.28,14.61,10.9
a_1,2.33,2.04,2.51,2.24,2.52,10.22,8.82,9.17,10.18,10.04,9.71,11.85,7.0,20.48,17.16,11.27
h_1,3.29,2.18,2.51,2.6,2.12,2.05,17.83,11.12,12.31,11.62,11.78,11.63,10.56,12.5,24.38,13.79
g_1,2.11,2.18,4.03,2.35,1.98,2.52,7.51,21.33,8.39,11.25,11.41,16.89,9.76,15.71,16.62,12.67
d_0,2.48,2.16,1.62,4.47,2.66,2.21,9.05,8.5,18.4,7.52,10.91,11.79,11.92,17.17,16.66,12.31
c_0,2.81,2.53,2.45,1.89,1.84,2.23,9.49,11.15,12.54,19.32,26.14,14.34,15.81,18.22,17.38,16.18
b_0,2.97,2.4,2.6,2.7,1.94,1.85,9.28,10.97,11.37,10.88,20.82,10.21,25.33,21.33,18.87,12.88
f_0,2.06,2.07,2.69,2.86,2.66,2.65,10.67,8.77,13.0,11.44,12.94,23.78,11.42,18.63,20.5,30.69
a_0,3.18,2.34,2.53,2.61,2.15,1.61,10.42,11.01,12.27,11.42,14.49,13.05,26.56,17.24,19.95,12.53
h_0,3.63,2.59,2.78,2.52,2.28,1.76,6.08,12.58,9.77,9.87,11.07,12.38,11.81,12.64,23.35,11.98
g_0,2.38,2.22,3.46,2.46,2.27,2.75,9.73,6.8,10.58,10.23,10.35,18.69,12.84,18.44,13.02,14.86
e_0,2.63,1.9,2.72,3.14,2.36,2.26,8.42,11.15,10.73,11.17,12.62,10.28,13.05,19.37,19.59,30.94
