,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.9,0.23,0.2,0.15,0.18,0.11,0.24,0.39,0.18,0.12,0.23,0.18,0.22,0.15,0.2,0.15
f_1,0.21,0.9,0.4,0.17,0.13,0.12,0.2,0.17,0.13,0.22,0.18,0.06,0.19,0.11,0.14,0.09
e_1,0.23,0.24,0.89,0.22,0.18,0.12,0.18,0.18,0.13,0.36,0.18,0.17,0.21,0.12,0.15,0.05
c_1,0.25,0.2,0.2,0.89,0.33,0.11,0.14,0.09,0.14,0.19,0.11,0.15,0.19,0.1,0.15,0.13
b_1,0.26,0.22,0.19,0.15,0.89,0.25,0.19,0.2,0.15,0.16,0.11,0.19,0.19,0.1,0.17,0.12
a_1,0.24,0.28,0.21,0.21,0.14,0.88,0.19,0.2,0.18,0.18,0.21,0.18,0.22,0.06,0.19,0.09
h_1,0.29,0.36,0.27,0.27,0.15,0.12,0.58,0.25,0.29,0.2,0.2,0.21,0.16,0.17,0.25,0.15
c_0,0.32,0.29,0.25,0.17,0.18,0.15,0.26,0.46,0.23,0.25,0.43,0.19,0.26,0.22,0.24,0.16
g_1,0.46,0.25,0.22,0.23,0.18,0.13,0.24,0.22,0.56,0.17,0.2,0.31,0.24,0.14,0.17,0.17
d_0,0.17,0.29,0.28,0.46,0.22,0.13,0.22,0.18,0.19,0.44,0.22,0.18,0.25,0.12,0.17,0.12
b_0,0.28,0.32,0.25,0.26,0.14,0.14,0.26,0.24,0.21,0.21,0.45,0.23,0.25,0.33,0.22,0.16
f_0,0.35,0.2,0.19,0.27,0.23,0.14,0.24,0.28,0.25,0.24,0.21,0.45,0.25,0.21,0.23,0.33
h_0,0.31,0.39,0.27,0.24,0.19,0.12,0.16,0.24,0.25,0.24,0.21,0.21,0.16,0.16,0.27,0.15
a_0,0.36,0.3,0.27,0.26,0.18,0.08,0.33,0.25,0.21,0.24,0.21,0.2,0.29,0.41,0.25,0.16
g_0,0.5,0.23,0.22,0.24,0.18,0.12,0.23,0.27,0.17,0.19,0.21,0.35,0.24,0.17,0.17,0.17
e_0,0.31,0.34,0.16,0.25,0.21,0.18,0.3,0.28,0.28,0.25,0.22,0.2,0.27,0.15,0.18,0.38
