,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.92,0.46,0.32,0.45,0.3,0.19,0.38,0.35,0.61,0.35,0.33,0.36,0.25,0.39,0.28,0.18
f_1,0.62,0.92,0.4,0.39,0.29,0.21,0.39,0.28,0.37,0.31,0.33,0.2,0.25,0.35,0.3,0.14
d_1,0.42,0.47,0.92,0.34,0.3,0.23,0.39,0.34,0.25,0.62,0.4,0.31,0.26,0.39,0.28,0.19
c_1,0.42,0.44,0.38,0.91,0.54,0.21,0.36,0.3,0.36,0.22,0.23,0.29,0.26,0.35,0.27,0.22
b_1,0.37,0.42,0.41,0.37,0.91,0.42,0.31,0.3,0.31,0.33,0.22,0.28,0.21,0.36,0.26,0.21
a_1,0.39,0.44,0.43,0.43,0.31,0.89,0.41,0.36,0.37,0.34,0.37,0.31,0.19,0.41,0.27,0.26
h_1,0.46,0.55,0.42,0.45,0.36,0.19,0.66,0.45,0.36,0.36,0.35,0.33,0.29,0.32,0.38,0.25
g_1,0.4,0.37,0.62,0.41,0.32,0.25,0.4,0.64,0.28,0.39,0.32,0.51,0.25,0.37,0.28,0.27
d_0,0.4,0.46,0.34,0.67,0.35,0.24,0.38,0.35,0.55,0.25,0.32,0.37,0.23,0.39,0.31,0.27
c_0,0.43,0.53,0.48,0.36,0.29,0.26,0.38,0.39,0.37,0.56,0.62,0.4,0.35,0.42,0.31,0.22
b_0,0.43,0.53,0.45,0.46,0.24,0.23,0.38,0.36,0.38,0.39,0.57,0.36,0.54,0.44,0.36,0.24
f_0,0.36,0.4,0.52,0.47,0.33,0.26,0.46,0.42,0.4,0.41,0.35,0.55,0.3,0.44,0.32,0.46
a_0,0.42,0.46,0.55,0.42,0.35,0.14,0.45,0.32,0.36,0.37,0.4,0.38,0.48,0.4,0.38,0.24
h_0,0.44,0.6,0.48,0.41,0.33,0.23,0.32,0.37,0.34,0.33,0.34,0.3,0.3,0.3,0.39,0.2
g_0,0.41,0.45,0.6,0.4,0.33,0.23,0.39,0.32,0.37,0.4,0.36,0.49,0.29,0.42,0.26,0.26
e_0,0.35,0.48,0.45,0.46,0.39,0.28,0.46,0.36,0.4,0.39,0.33,0.35,0.28,0.33,0.38,0.43
