,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.5,1.14,0.83,0.65,0.6,0.51,0.78,0.8,0.67,0.78,0.74,0.47,0.75,0.52,0.71,0.66
e_1,0.79,1.5,0.8,0.6,0.69,0.57,0.87,1.54,0.94,0.85,0.95,0.95,0.99,0.58,0.91,0.84
c_1,0.72,0.75,1.54,0.79,1.15,0.61,0.83,0.68,0.79,0.41,0.61,0.71,0.78,0.62,0.58,0.83
d_1,0.88,0.87,0.61,1.6,0.63,0.51,1.0,0.62,0.69,1.47,0.97,0.79,1.01,0.85,0.78,0.83
b_1,0.8,0.76,0.64,0.79,1.61,1.2,0.77,0.95,0.68,0.89,0.48,0.92,1.0,0.8,0.59,0.84
a_1,1.0,0.82,0.8,0.9,0.55,1.74,0.97,1.03,0.82,0.82,1.02,0.88,1.08,0.9,0.64,0.96
h_1,1.31,0.95,0.98,0.89,0.97,0.71,1.76,1.03,1.25,1.14,1.02,1.04,0.87,1.1,0.86,1.27
d_0,1.14,0.78,1.74,0.72,0.96,0.69,1.28,1.63,1.17,0.91,1.03,0.95,1.25,1.17,1.06,1.24
g_1,1.07,0.8,1.01,1.41,0.98,0.82,1.11,1.1,1.87,1.23,1.15,1.45,1.04,1.12,0.89,0.95
c_0,1.28,1.09,1.06,0.9,0.71,0.82,1.2,1.32,1.09,1.69,2.08,1.26,1.24,0.99,1.21,1.16
b_0,1.33,1.04,1.15,1.01,0.91,0.68,1.38,1.31,1.13,0.96,1.73,1.14,1.14,1.09,1.75,1.22
f_0,0.99,0.86,1.24,1.09,1.03,0.99,1.26,1.44,1.08,1.12,1.2,1.76,1.31,1.88,0.87,1.17
h_0,1.39,1.06,1.21,1.05,1.06,0.85,1.02,1.21,1.47,1.29,1.21,1.12,1.08,1.18,0.92,1.71
e_0,1.35,0.69,1.45,1.0,1.14,0.99,1.36,1.15,1.13,1.31,1.11,1.13,1.36,1.8,0.94,1.32
a_0,1.21,1.1,1.31,0.97,1.17,0.61,1.36,1.31,1.35,1.18,1.06,1.36,1.51,1.28,1.79,1.54
g_0,1.09,0.95,1.2,1.45,1.1,0.8,1.28,1.18,1.05,1.23,1.18,1.74,1.11,1.21,0.87,1.07
